Database:Annual by Province
Indicators:Children Dependency Ratio (Sample Survey)(%)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,16.7,16.7,16.6,16.4,,13.3,13.4,14.3,14.1
Tianjin,,17.5,18.0,18.5,18.7,,13.2,13.0,14.6,14.0
Hebei,,25.5,27.0,28.2,29.2,,27.7,26.9,25.6,26.1
Shanxi,,20.9,21.4,22.0,22.6,,20.9,21.1,20.7,20.2
Inner Mongolia,,17.5,18.0,18.5,19.0,,17.0,17.3,17.9,16.5
Liaoning,,14.4,14.7,15.0,15.3,,13.8,13.6,13.4,14.0
Jilin,,14.1,14.5,15.1,15.5,,15.7,16.3,16.5,16.5
Heilongjiang,,11.6,12.2,12.7,13.3,,13.1,13.7,12.8,12.9
Shanghai,,13.5,13.5,13.7,13.5,,13.6,13.1,13.1,12.5
Jiangsu,,19.1,20.0,20.8,21.5,,19.4,19.1,18.5,18.9
Zhejiang,,17.1,17.5,18.0,18.3,,17.9,18.7,16.2,17.2
Anhui,,24.6,26.0,27.2,28.3,,27.7,27.3,28.1,24.7
Fujian,,24.6,25.6,26.5,27.2,,23.1,22.7,25.7,25.5
Jiangxi,,26.2,27.9,29.6,31.3,,29.0,29.0,31.5,30.7
Shandong,,25.6,26.5,27.3,28.1,,26.6,27.0,25.5,23.7
Henan,,29.5,31.4,33.2,34.8,,31.3,31.5,30.5,30.1
Hubei,,20.9,21.8,22.5,23.1,,21.8,21.3,22.0,21.2
Hunan,,24.9,26.3,27.6,28.7,,29.9,28.7,26.5,26.0
Guangdong,,24.3,25.0,25.7,26.0,,21.2,22.6,22.3,22.2
Guangxi,,31.7,33.1,34.3,35.5,,32.1,32.1,32.7,31.0
Hainan,,25.3,26.1,27.2,28.1,,27.4,26.4,27.5,27.4
Chongqing,,19.9,20.8,21.7,22.8,,24.7,24.7,23.7,21.9
Sichuan,,20.7,21.6,22.5,23.4,,24.2,23.8,22.5,22.7
Guizhou,,33.6,34.8,35.6,36.4,,33.6,33.5,31.0,32.7
Yunnan,,25.5,26.3,26.9,27.7,,25.0,25.0,26.1,27.1
Tibet,,34.0,35.1,35.7,35.6,,38.4,33.2,34.1,33.9
Shaanxi,,23.4,24.0,24.5,24.9,,19.8,19.3,21.3,19.9
Gansu,,26.2,27.1,27.6,28.3,,24.0,24.7,24.3,23.2
Qinghai,,27.7,28.4,29.2,29.8,,27.1,26.8,27.8,27.0
Ningxia,,27.0,27.3,28.0,28.7,,29.7,28.3,25.1,26.2
Xinjiang,,26.6,27.9,29.5,30.8,,35.6,32.2,32.8,32.1
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.
Data Sources:National Bureau of Statistics
