Database:Annual by Province
Indicators:Number of Beds in Health Care Institutions(10000 units)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,14.11,13.88,13.39,13.03,12.70,12.78,12.36,12.06,11.70
Tianjin,,7.32,7.25,6.85,6.87,6.83,6.83,6.82,6.84,6.58
Hebei,,54.69,53.40,48.57,45.50,44.20,43.01,42.19,39.50,36.05
Shanxi,,22.99,23.23,22.84,22.89,22.37,21.84,20.83,19.75,18.97
Inner Mongolia,,17.36,17.31,16.77,16.66,16.21,16.11,15.90,15.03,13.92
Liaoning,,33.77,33.42,32.62,32.45,31.45,31.38,31.44,29.86,28.44
Jilin,,17.77,18.37,17.72,17.65,17.31,17.03,16.70,15.37,15.12
Heilongjiang,,27.30,27.33,26.13,26.05,25.33,26.26,25.01,24.17,22.01
Shanghai,,18.61,17.50,16.53,16.04,15.22,14.65,13.90,13.46,12.92
Jiangsu,,60.41,57.88,56.30,54.86,53.50,51.60,49.15,46.92,44.31
Zhejiang,,41.32,40.61,38.17,36.99,36.13,35.02,33.21,31.35,28.99
Anhui,,44.90,45.35,44.40,41.10,40.78,34.74,32.81,30.57,28.17
Fujian,,24.89,24.21,23.24,22.38,21.68,20.22,19.25,18.24,17.48
Jiangxi,,34.05,34.07,31.45,30.73,28.58,26.71,24.95,23.40,20.91
Shandong,,76.10,73.86,69.36,67.39,64.69,62.97,60.85,58.48,54.10
Henan,,76.51,77.74,75.22,72.13,66.72,64.01,60.85,55.90,52.15
Hubei,,47.58,47.61,45.03,43.40,41.14,40.33,39.35,37.62,36.06
Hunan,,52.32,53.39,54.45,53.27,51.99,50.63,48.24,45.23,42.58
Guangdong,,64.44,62.86,60.83,58.90,56.48,54.52,51.69,49.21,46.51
Guangxi,,37.73,36.20,34.17,31.90,29.56,27.74,25.59,24.11,22.45
Hainan,,6.15,6.09,6.12,6.14,5.85,4.98,4.48,4.20,4.03
Chongqing,,24.79,25.56,25.08,24.07,23.55,23.18,22.01,20.64,19.09
Sichuan,,71.49,70.86,68.39,66.20,64.98,63.18,59.89,56.35,51.92
Guizhou,,32.48,31.54,30.97,29.69,27.64,26.50,24.56,23.30,21.03
Yunnan,,37.42,35.99,34.12,33.03,32.52,31.19,29.12,27.48,25.36
Tibet,,2.15,2.16,2.00,1.97,1.86,1.71,1.68,1.61,1.45
Shaanxi,,30.97,30.62,28.96,28.45,27.24,26.58,25.37,24.13,22.54
Gansu,,20.77,20.40,18.89,18.32,17.19,18.12,16.27,14.66,13.43
Qinghai,,4.78,4.57,4.29,4.22,4.13,4.14,3.91,3.83,3.47
Ningxia,,4.43,4.35,4.18,4.12,4.13,4.10,4.10,3.98,3.63
Xinjiang,,20.22,19.75,17.96,18.61,18.15,18.64,17.89,16.76,15.69
Data Sources:National Bureau of Statistics
