Database:Annual by Province
Indicators:Number of Full-time Teachers of Junior Secondary _Schools(10000 persons)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,4.08,4.04,4.01,3.94,3.81,3.71,3.56,3.45,3.35
Tianjin,,3.31,3.18,3.07,3.04,2.92,2.83,2.75,2.69,2.66
Hebei,,24.96,24.47,23.60,23.07,21.98,21.06,19.99,18.75,17.92
Shanxi,,10.35,10.35,10.35,10.62,10.86,10.93,10.84,10.83,11.02
Inner Mongolia,,6.57,6.50,6.40,6.30,6.08,5.96,5.83,5.76,5.71
Liaoning,,9.73,9.85,9.94,9.99,9.89,9.96,9.89,9.95,9.90
Jilin,,6.47,6.52,6.58,6.68,6.71,6.63,6.58,6.46,6.47
Heilongjiang,,8.07,8.28,8.46,8.55,8.69,8.81,8.90,8.97,9.04
Shanghai,,5.04,4.86,4.73,4.61,4.47,4.31,4.10,3.93,3.81
Jiangsu,,23.68,23.25,22.84,22.27,21.26,20.10,19.08,18.19,17.66
Zhejiang,,14.27,13.81,13.67,13.59,13.31,13.06,12.75,12.47,12.19
Anhui,,17.16,16.97,17.11,17.02,16.55,16.24,15.89,15.55,15.19
Fujian,,12.09,11.81,11.61,11.27,10.79,10.46,10.18,9.99,9.88
Jiangxi,,15.70,15.58,15.24,15.10,14.55,13.66,12.88,12.06,11.95
Shandong,,31.56,31.56,31.66,31.61,30.45,29.28,28.20,27.59,26.78
Henan,,36.61,36.61,36.08,35.08,34.05,32.72,31.43,29.90,28.64
Hubei,,15.03,14.64,14.39,14.09,13.50,13.31,12.98,12.90,12.92
Hunan,,20.81,20.20,19.91,19.55,18.90,18.18,17.54,17.16,16.93
Guangdong,,35.66,34.11,32.79,31.51,30.09,29.16,28.64,27.98,27.58
Guangxi,,17.16,16.60,16.21,15.73,15.20,14.24,13.74,12.98,12.34
Hainan,,3.26,3.19,3.03,2.94,2.80,2.70,2.63,2.59,2.59
Chongqing,,8.40,8.46,8.55,8.58,8.35,8.12,7.79,7.62,7.53
Sichuan,,22.46,22.41,22.38,22.41,21.84,21.17,20.49,20.13,19.85
Guizhou,,13.89,13.48,13.15,12.98,12.90,12.82,12.82,12.75,12.71
Yunnan,,13.99,13.88,13.86,13.91,13.93,13.38,13.23,12.90,12.65
Tibet,,1.33,1.31,1.26,1.26,1.24,1.19,1.08,1.00,1.01
Shaanxi,,11.30,10.96,10.62,10.43,10.11,9.99,9.85,10.00,10.19
Gansu,,8.56,8.40,8.26,8.23,8.12,8.10,8.00,8.10,8.24
Qinghai,,1.76,1.72,1.68,1.70,1.68,1.67,1.64,1.61,1.62
Ningxia,,2.14,2.14,2.14,2.11,2.07,2.07,2.05,2.02,1.97
Xinjiang,,9.45,9.17,8.93,8.97,8.96,8.92,8.60,8.60,8.49
Data Sources:National Bureau of Statistics
