Database:Annual by Province
Indicators:Number of Full-time Teachers of Regular Primary _Schools(10000 persons)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,8.05,7.89,7.67,7.44,7.10,6.93,6.69,6.45,6.18
Tianjin,,5.21,5.15,4.95,4.93,4.75,4.65,4.48,4.30,4.15
Hebei,,39.44,40.57,40.82,41.25,40.77,39.53,38.03,36.59,35.14
Shanxi,,16.51,16.61,16.80,17.17,16.83,16.78,16.80,16.91,17.15
Inner Mongolia,,11.23,11.21,10.99,10.76,10.52,10.29,10.07,9.97,9.94
Liaoning,,13.67,13.95,14.03,14.06,13.77,13.73,13.70,14.02,14.04
Jilin,,9.62,9.83,10.15,10.43,10.53,10.50,10.66,10.84,10.97
Heilongjiang,,9.10,9.50,9.94,10.12,10.37,10.71,11.05,11.45,11.94
Shanghai,,6.78,6.70,6.54,6.33,6.15,5.95,5.68,5.47,5.34
Jiangsu,,36.04,36.41,36.24,35.90,34.59,33.21,31.61,30.02,28.92
Zhejiang,,23.92,23.84,23.22,22.83,22.19,21.61,21.04,20.51,20.00
Anhui,,26.66,26.82,26.97,26.90,26.04,25.54,24.93,24.50,24.05
Fujian,,20.85,20.90,20.42,19.83,18.26,17.79,17.20,16.89,16.59
Jiangxi,,23.09,23.88,24.25,24.52,24.22,23.85,23.47,22.70,21.92
Shandong,,47.64,47.74,46.76,46.83,45.43,44.27,43.07,42.19,40.89
Henan,,58.24,60.10,60.72,60.57,58.66,56.52,54.72,52.70,50.61
Hubei,,22.54,22.43,22.21,21.93,20.98,20.83,20.36,20.33,20.20
Hunan,,30.45,31.04,31.33,31.10,30.00,28.71,27.45,26.59,25.37
Guangdong,,61.48,61.34,60.20,59.22,57.34,55.32,53.03,50.78,48.66
Guangxi,,30.18,30.14,29.78,29.31,28.17,26.71,25.78,24.71,23.25
Hainan,,5.71,5.81,5.77,5.67,5.43,5.25,5.07,4.98,4.91
Chongqing,,13.30,13.45,13.41,13.33,13.06,12.88,12.65,12.53,12.31
Sichuan,,34.94,35.20,34.95,34.94,34.49,33.78,32.99,32.50,31.44
Guizhou,,21.89,21.76,21.52,21.27,21.50,21.25,20.78,20.21,19.71
Yunnan,,22.97,23.21,23.25,23.63,23.73,23.08,22.84,22.73,22.70
Tibet,,2.71,2.66,2.54,2.54,2.45,2.32,2.24,2.04,2.11
Shaanxi,,19.17,19.07,18.80,18.50,17.71,17.07,16.42,15.91,15.62
Gansu,,15.20,15.21,15.19,15.21,15.09,14.84,14.33,14.20,14.11
Qinghai,,2.96,2.99,2.97,3.00,2.88,2.83,2.75,2.73,2.64
Ningxia,,3.57,3.59,3.59,3.50,3.38,3.43,3.45,3.42,3.41
Xinjiang,,15.91,16.62,16.98,17.02,17.01,16.74,15.86,15.34,14.64
Data Sources:National Bureau of Statistics
