Database:Annual by Province
Indicators:Number of Medical Technical Personnel(10000 persons)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,32.39,31.28,29.55,28.90,27.61,27.12,25.59,24.60,23.40
Tianjin,,13.88,13.37,12.44,12.17,11.40,10.98,10.46,10.10,9.50
Hebei,,69.81,64.49,58.34,55.94,51.96,49.01,46.11,42.52,39.31
Shanxi,,31.78,29.82,28.39,28.15,26.84,25.79,24.64,23.33,22.59
Inner Mongolia,,24.97,23.45,21.70,21.17,20.23,19.64,18.82,18.04,17.04
Liaoning,,38.26,35.76,34.03,33.40,31.61,30.92,30.31,29.12,27.75
Jilin,,24.20,23.23,21.80,21.73,21.21,18.85,18.38,16.80,16.66
Heilongjiang,,27.74,26.75,25.31,24.86,24.25,23.77,23.08,22.94,22.14
Shanghai,,25.94,24.58,23.60,22.90,21.44,20.45,19.56,18.69,17.82
Jiangsu,,77.98,74.33,71.37,69.18,66.55,63.33,59.01,54.77,51.70
Zhejiang,,68.43,66.26,61.28,57.91,54.80,52.02,48.62,45.97,43.26
Anhui,,51.94,50.99,47.12,43.51,41.21,36.12,33.36,31.35,29.37
Fujian,,33.82,32.58,30.80,29.44,27.84,26.32,24.74,23.14,21.96
Jiangxi,,37.97,36.16,31.40,30.57,28.61,26.78,24.73,23.57,22.10
Shandong,,98.55,93.47,87.65,85.31,81.34,78.23,73.85,68.86,64.17
Henan,,89.46,86.61,80.54,75.56,70.68,65.39,62.15,58.10,54.70
Hubei,,51.08,49.72,46.86,45.64,42.85,41.62,41.10,39.97,38.45
Hunan,,57.09,56.97,51.92,50.62,49.78,50.23,43.70,41.56,39.25
Guangdong,,100.98,97.61,91.63,87.32,82.94,79.26,75.52,70.75,66.53
Guangxi,,45.15,43.35,41.52,39.39,37.20,34.14,32.09,30.53,28.99
Hainan,,8.99,8.65,8.26,8.05,7.44,6.77,6.37,6.04,5.75
Chongqing,,28.35,27.20,25.32,24.66,23.77,22.46,20.93,19.16,17.94
Sichuan,,76.44,74.04,69.82,67.27,63.22,60.24,56.25,53.03,49.58
Guizhou,,36.55,35.48,32.14,30.94,28.78,26.76,24.55,22.59,20.46
Yunnan,,44.95,42.52,39.63,38.07,36.65,33.97,30.18,28.39,24.97
Tibet,,3.21,2.95,2.64,2.56,2.27,2.09,1.91,1.65,1.48
Shaanxi,,39.84,39.17,37.82,36.86,36.35,35.38,32.80,31.02,28.86
Gansu,,24.24,22.11,20.72,20.10,18.12,17.88,15.73,14.69,13.46
Qinghai,,6.15,5.80,5.21,5.17,4.89,4.74,4.46,4.17,3.70
Ningxia,,6.80,6.57,6.18,6.06,5.86,5.54,5.31,4.97,4.47
Xinjiang,,25.03,23.57,20.81,20.03,19.09,18.59,17.64,17.41,17.10
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.
Data Sources:National Bureau of Statistics
