Database:Annual by Province
Indicators:Old Dependency Ratio (Sample Survey)(%)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,23.0,22.0,20.8,19.3,,14.7,14.4,16.3,15.2
Tianjin,,26.8,25.8,24.3,22.5,,15.6,13.9,14.6,14.6
Hebei,,24.7,24.6,23.8,22.7,,19.3,18.4,16.8,15.4
Shanxi,,22.7,21.8,20.7,19.4,,14.9,13.9,11.9,11.5
Inner Mongolia,,22.4,21.6,20.4,19.1,,13.3,12.8,14.3,12.1
Liaoning,,32.1,30.6,28.8,26.7,,21.6,20.0,18.6,17.4
Jilin,,27.5,26.3,24.8,23.2,,17.7,16.4,16.2,14.2
Heilongjiang,,26.9,26.0,24.4,22.8,,18.1,15.8,15.6,15.3
Shanghai,,28.8,27.6,26.1,24.0,,22.1,19.9,18.8,16.8
Jiangsu,,27.5,27.2,26.3,25.0,,21.2,19.9,19.2,18.6
Zhejiang,,21.8,21.4,20.7,19.5,,19.3,17.7,16.6,15.4
Anhui,,23.2,23.8,23.9,23.4,,20.7,19.4,19.1,16.2
Fujian,,18.6,18.2,17.6,16.6,,13.7,12.9,13.2,13.9
Jiangxi,,20.4,19.9,19.4,18.6,,14.6,13.9,14.2,13.9
Shandong,,27.1,26.7,25.6,24.3,,23.8,22.7,18.6,16.3
Henan,,22.9,23.0,22.7,21.9,,17.2,16.3,15.9,14.6
Hubei,,25.3,24.9,23.9,22.5,,18.3,17.3,17.0,15.9
Hunan,,25.0,24.9,24.5,23.6,,19.7,18.4,17.5,17.0
Guangdong,,14.1,13.8,13.3,12.6,,11.4,11.0,10.3,10.2
Guangxi,,21.4,21.3,20.3,19.5,,15.0,14.7,14.3,14.1
Hainan,,16.9,16.7,16.2,15.5,,13.1,11.3,11.4,11.5
Chongqing,,27.9,28.2,27.3,26.5,,22.6,21.1,20.6,19.8
Sichuan,,27.3,27.5,27.1,26.3,,23.2,21.8,19.8,19.5
Guizhou,,19.8,19.8,18.7,18.2,,17.5,17.1,14.5,14.1
Yunnan,,17.2,17.1,16.8,16.2,,13.7,13.2,11.6,11.6
Tibet,,9.0,8.8,8.5,8.4,,8.9,8.0,8.2,7.0
Shaanxi,,23.0,22.3,21.4,20.3,,16.4,15.0,15.1,14.4
Gansu,,19.9,20.1,19.8,19.2,,16.1,15.9,14.3,13.6
Qinghai,,15.1,15.0,14.7,14.2,,11.9,10.4,11.0,9.9
Ningxia,,15.1,14.9,14.9,14.4,,13.6,12.7,11.6,10.7
Xinjiang,,12.3,12.2,11.9,11.5,,11.9,10.2,10.4,10.3
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.
Data Sources:National Bureau of Statistics
