Database：Annual By Province 
Time：2016-2025 
Region	,2025	,2024	,2023	,2022	,2021	,2020	,2019	,2018	,2017	,2016	,
Beijing	,	,2.89	,2.74	,2.19	,2.26	,1.81	,2.48	,2.34	,2.22	,2.30	,
Tianjin	,	,1.16	,1.13	,0.95	,1.03	,0.95	,1.19	,1.16	,1.16	,1.16	,
Hebei	,	,5.35	,4.75	,3.60	,3.67	,3.56	,4.00	,3.99	,3.98	,3.99	,
Shanxi	,	,1.49	,1.36	,1.17	,1.25	,1.14	,1.22	,1.19	,1.24	,1.19	,
Inner Mongolia	,	,1.16	,1.09	,0.90	,0.95	,0.90	,1.01	,0.99	,0.98	,0.96	,
Liaoning	,	,2.01	,1.82	,1.44	,1.55	,1.52	,1.87	,1.85	,1.86	,1.79	,
Jilin	,	,1.09	,0.97	,0.77	,0.89	,0.83	,1.00	,0.99	,0.96	,0.95	,
Heilongjiang	,	,1.14	,1.08	,0.86	,0.89	,0.79	,1.05	,1.04	,1.10	,1.10	,
Shanghai	,	,2.71	,2.55	,2.22	,2.63	,2.21	,2.71	,2.66	,2.62	,2.55	,
Jiangsu	,	,6.71	,6.22	,5.45	,5.55	,5.17	,5.99	,5.78	,5.68	,5.37	,
Zhejiang	,	,7.60	,7.25	,6.69	,6.45	,5.88	,6.65	,6.15	,5.83	,5.45	,
Anhui	,	,3.77	,3.63	,3.43	,3.37	,3.23	,3.12	,2.84	,2.67	,2.52	,
Fujian	,	,2.99	,2.74	,2.47	,2.50	,2.28	,2.42	,2.27	,2.20	,2.13	,
Jiangxi	,	,2.64	,2.44	,2.23	,2.17	,2.11	,2.27	,2.03	,2.06	,2.04	,
Shandong	,	,8.58	,7.35	,6.20	,6.29	,5.86	,6.47	,6.28	,6.14	,5.90	,
Henan	,	,6.57	,6.50	,5.83	,5.88	,5.48	,5.81	,5.56	,5.55	,5.48	,
Hubei	,	,3.63	,3.47	,3.23	,3.22	,2.81	,3.41	,3.39	,3.43	,3.40	,
Hunan	,	,3.65	,3.69	,3.11	,2.76	,2.50	,2.64	,2.52	,2.51	,2.46	,
Guangdong	,	,9.41	,8.80	,7.78	,7.91	,7.07	,8.72	,8.26	,8.17	,7.93	,
Guangxi	,	,2.56	,2.56	,2.54	,2.45	,2.25	,2.54	,2.49	,2.54	,2.47	,
Hainan	,	,0.53	,0.51	,0.47	,0.47	,0.52	,0.51	,0.50	,0.49	,0.48	,
Chongqing	,	,2.17	,2.08	,1.89	,1.86	,1.63	,1.69	,1.54	,1.50	,1.44	,
Sichuan	,	,5.71	,5.54	,5.17	,5.15	,4.82	,5.31	,4.91	,4.66	,4.47	,
Guizhou	,	,2.19	,2.05	,1.88	,1.76	,1.58	,1.71	,1.57	,1.46	,1.32	,
Yunnan	,	,3.19	,3.09	,3.03	,2.84	,2.63	,2.75	,2.53	,2.49	,2.39	,
Xizang	,	,0.16	,0.14	,0.12	,0.14	,0.14	,0.15	,0.15	,0.15	,0.13	,
Shaanxi	,	,2.15	,2.13	,1.77	,1.83	,1.73	,2.05	,1.92	,1.87	,1.80	,
Gansu	,	,1.25	,1.14	,0.95	,1.08	,1.04	,1.20	,1.23	,1.26	,1.22	,
Qinghai	,	,0.28	,0.27	,0.22	,0.25	,0.23	,0.25	,0.24	,0.23	,0.22	,
Ningxia	,	,0.55	,0.49	,0.39	,0.39	,0.38	,0.42	,0.40	,0.39	,0.37	,
Xinjiang	,	,1.48	,1.30	,0.87	,0.97	,0.99	,1.13	,1.02	,1.07	,1.04	,
Data Sources：National Bureau of Statistics
