Database:Annual by Province
Indicators:Per Capita Consumption Expenditure Nationwide(yuan)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,49748,47586,42683,43640,38903,43038,39843,37425,35416
Tianjin,,35804,34914,31324,33188,28461,31854,29903,27841,26129
Hebei,,24253,22920,20890,19954,18037,17987,16722,15437,14247
Shanxi,,21090,19756,17537,17191,15733,15863,14810,13664,12683
Inner Mongolia,,28113,27025,22298,22658,19794,20743,19665,18946,18072
Liaoning,,25963,24865,22604,23831,20672,22203,21398,20463,19853
Jilin,,23118,21411,17898,19605,17318,18075,17200,15632,14773
Heilongjiang,,23467,22052,20412,20636,17056,18111,16994,15577,14446
Shanghai,,52722,52508,46045,48879,42536,45605,43351,39792,37458
Jiangsu,,37346,35491,32848,31451,26225,26697,25007,23469,22130
Zhejiang,,45107,42194,38971,36668,31295,32026,29471,27079,25527
Anhui,,24996,23607,22542,21911,18877,19137,17045,15752,14712
Fujian,,33876,31869,30042,28440,25126,25314,22996,21249,20167
Jiangxi,,24726,23379,21708,20290,17955,17650,15792,14459,13259
Shandong,,25645,24293,22640,22821,20940,20427,18780,17281,15926
Henan,,21956,21011,19019,18391,16143,16332,15169,13730,12712
Hubei,,27888,27106,24828,23846,19246,21567,19538,16938,15889
Hunan,,26760,25462,24083,22798,20998,20479,18808,17160,15750
Guangdong,,35818,34331,32169,31589,28492,28995,26054,24820,23448
Guangxi,,21150,19749,18343,18088,16357,16418,14935,13424,12295
Hainan,,25908,23752,21500,22242,18972,19555,17528,15403,14275
Chongqing,,27451,26515,25371,24598,21678,20774,19248,17898,16385
Sichuan,,24878,23550,22302,21518,19783,19338,17664,16180,14839
Guizhou,,20871,20161,17939,17957,14874,14780,13798,12970,11932
Yunnan,,22280,20995,18951,18851,16792,15780,14250,12658,11769
Tibet,,18983,17220,15886,15343,13225,13029,11520,10320,9319
Shaanxi,,23213,22012,19848,19347,17418,17465,16160,14900,13943
Gansu,,19829,19013,17489,17456,16175,15879,14624,13120,12254
Qinghai,,21204,20327,17261,19020,18284,17545,16557,15503,14775
Ningxia,,22865,21629,19136,20024,17506,18297,16715,15350,14965
Xinjiang,,21364,19715,17927,18961,16512,17397,16189,15087,14066
Data Sources:National Bureau of Statistics
