Database:Annual by Province
Indicators:Per Capita Consumption Expenditure of Rural Households(yuan)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,27349,26277,23745,23574,20913,21881,20195,18810,17329
Tianjin,,23129,21553,18934,19285,16844,17843,16863,16386,15912
Hebei,,18412,17244,16271,15391,12644,12372,11383,10536,9798
Shanxi,,14626,13684,12091,11410,10290,9728,9172,8424,8029
Inner Mongolia,,19631,18650,15444,15691,13594,13816,12661,12184,11463
Liaoning,,16742,16040,14326,14606,12311,12030,11455,10787,9953
Jilin,,15467,14354,12729,13411,11864,11457,10826,10279,9521
Heilongjiang,,17295,16453,15162,15225,12360,12495,11417,10524,9424
Shanghai,,32320,30782,27430,27205,22095,22449,19965,18090,17071
Jiangsu,,26975,25029,22597,21130,17022,17716,16567,15612,14428
Zhejiang,,33043,30468,27483,25415,21555,21352,19707,18093,17359
Anhui,,20154,18905,17980,17163,15024,14546,12748,11106,10287
Fujian,,23179,21746,20467,19290,16339,16281,14943,14003,12911
Jiangxi,,19692,18421,16984,15663,13579,12497,10885,9870,9128
Shandong,,17253,16075,14687,14299,12660,12309,11270,10342,9519
Henan,,17515,16638,14824,14073,12201,11546,10392,9212,8587
Hubei,,21326,20922,18991,17647,14472,15328,13946,11633,10938
Hunan,,20068,19210,18078,16951,14974,13969,12721,11534,10630
Guangdong,,23057,22209,20800,20012,17132,16949,15411,13200,12415
Guangxi,,16525,15435,14658,14165,12431,12045,10617,9437,8351
Hainan,,18415,16924,15145,15487,13169,12418,10956,9599,8921
Chongqing,,18918,17964,16727,16096,14140,13112,11977,10936,9954
Sichuan,,18878,17901,17199,16444,14953,14056,12723,11397,10192
Guizhou,,14802,14260,13172,12557,10818,10222,9170,8299,7533
Yunnan,,16214,15147,13309,12386,11069,10260,9123,8027,7331
Tibet,,13985,12619,11139,10577,8917,8418,7452,6691,6070
Shaanxi,,16731,15647,14094,13158,11376,10935,10071,9306,8568
Gansu,,13107,12575,11494,11206,9923,9694,9065,8030,7487
Qinghai,,15421,14790,12516,13300,12134,11343,10352,9903,9222
Ningxia,,15622,14649,12825,13536,11724,11465,10790,9982,9138
Xinjiang,,14738,13645,12169,12821,10778,10318,9421,8713,8277
Data Sources:National Bureau of Statistics
