Database:Annual by Province
Indicators:Per Capita Consumption Expenditure of Urban Households(yuan)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,53214,50897,45617,46776,41726,46358,42926,40346,38256
Tianjin,,38309,37586,33824,36067,30895,34811,32655,30284,28345
Hebei,,29310,27906,25071,24192,23167,23483,22127,20600,19106
Shanxi,,26089,24524,21923,21965,20332,21159,19790,18404,16993
Inner Mongolia,,33342,32249,26667,27194,23888,25383,24437,23638,22744
Liaoning,,30350,29091,26652,28438,24849,27355,26448,25379,24996
Jilin,,28770,26677,21835,24421,21623,23394,22394,20051,19166
Heilongjiang,,27625,25882,24011,24422,20397,22165,21035,19270,18145
Shanghai,,54980,54919,48111,51295,44839,48272,46015,42304,39857
Jiangsu,,42197,40461,37796,36558,30882,31329,29462,27726,26433
Zhejiang,,50704,47762,44511,42193,36197,37508,34598,31924,30068
Anhui,,29323,27900,26832,26495,22683,23782,21523,20740,19606
Fujian,,39910,37674,35692,33942,30487,30946,28145,25980,25006
Jiangxi,,29070,27733,25976,24587,22134,22714,20760,19244,17696
Shandong,,31625,30251,28555,29314,27291,26731,24798,23072,21495
Henan,,26507,25570,23539,23178,20645,21972,20989,19422,18088
Hubei,,32473,31500,29121,28506,22885,26422,23996,21276,20040
Hunan,,32625,31035,29580,28294,26796,26924,25064,23163,21420
Guangdong,,41055,39333,36936,36621,33511,34424,30924,30198,28613
Guangxi,,26084,24427,22438,22555,20907,21591,20159,18349,17268
Hainan,,31507,28930,26418,27565,23560,25317,22971,20372,19015
Chongqing,,32360,31531,30574,29850,26464,25785,24154,22759,21031
Sichuan,,30874,29280,27637,26971,25133,25367,23484,21991,20660
Guizhou,,28512,27693,24230,25333,20587,21402,20788,20348,19202
Yunnan,,29755,28338,26240,27441,24569,23455,21626,19560,18622
Tibet,,31292,28858,28265,28159,24927,25637,23029,21088,19440
Shaanxi,,28543,27303,24766,24784,22866,23514,21966,20388,19369
Gansu,,28013,27044,25207,25757,24615,24454,22606,20659,19539
Qinghai,,26413,25373,21700,24513,24315,23799,22998,21473,20853
Ningxia,,28469,27076,24213,25386,22379,24161,21977,20219,20364
Xinjiang,,28248,26134,24142,25724,22952,25594,24191,22797,21229
Data Sources:National Bureau of Statistics
