Database:Annual by Province
Indicators:Per Capita Disposable Income Nationwide(yuan)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,85415,81752,77415,75002,69434,67756,62361,57230,52530
Tianjin,,53581,51271,48976,47449,43854,42404,39506,37022,34074
Hebei,,34665,32903,30867,29383,27136,25665,23446,21484,19725
Shanxi,,32441,30924,29178,27426,25214,23828,21990,20420,19049
Inner Mongolia,,40077,38130,35921,34108,31497,30555,28376,26212,24127
Liaoning,,39844,37992,36089,35112,32738,31820,29701,27835,26040
Jilin,,31318,29797,27975,27770,25751,24563,22798,21368,19967
Heilongjiang,,31269,29694,28346,27159,24902,24254,22726,21206,19838
Shanghai,,88366,84834,79610,78027,72232,69442,64183,58988,54305
Jiangsu,,55415,52674,49862,47498,43390,41400,38096,35024,32070
Zhejiang,,67013,63830,60302,57541,52397,49899,45840,42046,38529
Anhui,,36782,34893,32745,30904,28103,26415,23984,21863,19998
Fujian,,47857,45426,43118,40659,37202,35616,32644,30048,27608
Jiangxi,,36007,34242,32419,30610,28017,26262,24080,22031,20110
Shandong,,42077,39890,37560,35705,32886,31597,29205,26930,24685
Henan,,31552,29933,28222,26811,24810,23903,21964,20170,18443
Hubei,,36947,35146,32914,30829,27881,28319,25815,23757,21787
Hunan,,37679,35895,34036,31993,29380,27680,25241,23103,21115
Guangdong,,51474,49327,47065,44993,41029,39014,35810,33003,30296
Guangxi,,31125,29514,27981,26727,24562,23328,21485,19905,18305
Hainan,,34829,33192,30957,30457,27904,26679,24579,22553,20653
Chongqing,,39713,37595,35666,33803,30824,28920,26386,24153,22034
Sichuan,,34325,32514,30679,29080,26522,24703,22461,20580,18808
Guizhou,,28561,27098,25508,23996,21795,20397,18430,16704,15121
Yunnan,,29932,28421,26937,25666,23295,22082,20084,18348,16720
Tibet,,31358,28983,26675,24950,21744,19501,17286,15457,13639
Shaanxi,,33905,32128,30116,28568,26226,24666,22528,20635,18874
Gansu,,26612,25011,23273,22066,20335,19139,17488,16011,14670
Qinghai,,30117,28587,27000,25919,24037,22618,20757,19001,17302
Ningxia,,33355,31604,29599,27904,25735,24412,22400,20562,18832
Xinjiang,,30899,28947,27063,26075,23845,23103,21500,19975,18355
Data Sources:National Bureau of Statistics
