Database:Annual by Province
Indicators:Per Capita Disposable Income of Rural Households(yuan)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,39856,37358,34754,33303,30126,28928,26490,24240,22310
Tianjin,,32715,30851,29018,27955,25691,24804,23065,21754,20076
Hebei,,22022,20688,19364,18179,16467,15373,14031,12881,11919
Shanxi,,18741,17677,16323,15308,13878,12902,11750,10788,10082
Inner Mongolia,,22543,21221,19641,18337,16567,15283,13803,12584,11609
Liaoning,,22744,21483,19908,19217,17450,16108,14656,13747,12881
Jilin,,20704,19472,18134,17642,16067,14936,13748,12950,12123
Heilongjiang,,20963,19756,18577,17889,16168,14982,13804,12665,11832
Shanghai,,45644,42988,39729,38521,34911,33195,30375,27825,25520
Jiangsu,,32414,30488,28486,26791,24198,22675,20845,19158,17606
Zhejiang,,42786,40311,37565,35247,31930,29876,27302,24956,22866
Anhui,,22507,21144,19575,18372,16620,15416,13996,12758,11720
Fujian,,28525,26722,24987,23229,20880,19568,17821,16335,14999
Jiangxi,,22673,21358,19936,18684,16981,15796,14460,13242,12138
Shandong,,25257,23776,22110,20794,18753,17775,16297,15118,13954
Henan,,21330,20053,18697,17533,16108,15164,13831,12719,11697
Hubei,,22580,21293,19709,18259,16306,16391,14978,13812,12725
Hunan,,22204,20921,19546,18295,16585,15395,14093,12936,11930
Guangdong,,26729,25142,23598,22306,20143,18818,17168,15780,14512
Guangxi,,19954,18656,17433,16363,14815,13676,12435,11325,10359
Hainan,,22146,20708,19117,18076,16279,15113,13989,12902,11843
Chongqing,,22221,20820,19313,18100,16361,15133,13781,12638,11549
Sichuan,,21303,19978,18672,17575,15929,14670,13331,12227,11203
Guizhou,,15856,14817,13707,12856,11642,10756,9716,8869,8090
Yunnan,,17450,16361,15147,14197,12842,11902,10768,9862,9020
Tibet,,21578,19924,18209,16932,14598,12951,11450,10330,9094
Shaanxi,,18199,16992,15704,14745,13316,12326,11213,10265,9396
Gansu,,14105,13131,12165,11433,10344,9629,8804,8076,7457
Qinghai,,16715,15614,14456,13604,12342,11499,10393,9462,8664
Ningxia,,19015,17772,16430,15337,13889,12858,11708,10738,9852
Xinjiang,,19427,17948,16550,15575,14056,13122,11975,11045,10183
Data Sources:National Bureau of Statistics
