Database:Annual by Province
Indicators:Per Capita Disposable Income of Urban Households(yuan)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,92464,88650,84023,81518,75602,73849,67990,62406,57275
Tianjin,,57705,55355,53003,51486,47659,46119,42976,40278,37110
Hebei,,45610,43631,41278,39791,37286,35738,32977,30548,28249
Shanxi,,43036,41327,39532,37433,34793,33262,31035,29132,27352
Inner Mongolia,,50888,48676,46295,44377,41353,40782,38305,35670,32975
Liaoning,,47982,45896,44003,43051,40376,39777,37342,34993,32876
Jilin,,39157,37503,35471,35646,33396,32299,30172,28319,26530
Heilongjiang,,38212,36492,35042,33646,31115,30945,29191,27446,25736
Shanghai,,93095,89477,84034,82429,76437,73615,68034,62596,57692
Jiangsu,,66173,63211,60178,57743,53102,51056,47200,43622,40152
Zhejiang,,78251,74997,71268,68487,62699,60182,55574,51261,47237
Anhui,,49539,47446,45133,43009,39442,37540,34393,31640,29156
Fujian,,58763,56153,53817,51140,47160,45620,42121,39001,36014
Jiangxi,,47514,45554,43697,41684,38556,36546,33819,31198,28673
Shandong,,54062,51571,49050,47066,43726,42329,39549,36789,34012
Henan,,42027,40234,38484,37095,34750,34201,31874,29558,27233
Hubei,,46987,44990,42626,40278,36706,37601,34455,31889,29386
Hunan,,51243,49243,47301,44866,41698,39842,36698,33948,31284
Guangdong,,61629,59307,56905,54854,50257,48118,44341,40975,37684
Guangxi,,43044,41287,39703,38530,35859,34745,32436,30502,28324
Hainan,,44307,42661,40118,40213,37097,36017,33349,30817,28453
Chongqing,,49778,47435,45509,43502,40006,37939,34889,32193,29610
Sichuan,,47336,45227,43233,41444,38253,36154,33216,30727,28335
Guizhou,,44558,42772,41086,39211,36096,34404,31592,29080,26743
Yunnan,,45312,43563,42168,40905,37500,36238,33488,30996,28611
Tibet,,55444,51900,48753,46503,41156,37410,33797,30671,27802
Shaanxi,,46821,44713,42431,40713,37868,36098,33319,30810,28440
Gansu,,41842,39833,37572,36187,33822,32323,29957,27763,25693
Qinghai,,42191,40408,38736,37745,35506,33830,31515,29169,26757
Ningxia,,44449,42395,40194,38291,35720,34328,31895,29472,27153
Xinjiang,,42820,40578,38410,37642,34838,34664,32764,30775,28463
Data Sources:National Bureau of Statistics
