Database:Annual by Province
Indicators:Per Capita Gross Regional Product(yuan/person)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,228167,216722,206826,202607,175856,172373,160335,142715,129739
Tianjin,,132143,126232,121261,116618,102675,101858,96034,87404,79716
Hebei,,64352,61649,58109,55265,49388,47904,44418,42026,39239
Shanxi,,73769,74999,73705,66249,52105,49467,46073,41791,34580
Inner Mongolia,,110011,104317,99128,89880,73156,72274,66953,61655,56928
Liaoning,,78236,74925,70590,67117,60570,59911,56058,51176,48083
Jilin,,61689,59495,55564,56268,51576,48456,45658,43522,40940
Heilongjiang,,54102,53468,52568,48579,43573,42426,39268,36898,35128
Shanghai,,217140,207193,195788,189107,167454,162394,152880,139381,125742
Jiangsu,,160694,153658,146374,141153,123411,118045,110802,102961,93748
Zhejiang,,135565,129687,123153,118028,104593,102201,95333,86808,79781
Anhui,,82694,78752,74387,70556,63341,61776,56667,49862,44505
Fujian,,137920,130932,124417,118837,105283,103092,95984,85218,75498
Jiangxi,,75862,72271,69802,66043,57167,54766,51013,45515,41780
Shandong,,97575,92878,88053,83440,73362,71371,67493,63939,60187
Henan,,64888,61592,59537,58320,54592,54378,51057,45480,41242
Hubei,,102832,97234,91563,86554,73711,76928,71780,63829,57550
Hunan,,81225,76932,72521,68971,62768,60159,55215,51482,47168
Guangdong,,111146,108745,104611,100820,90558,88954,83201,77346,70799
Guangxi,,57071,54599,52399,50341,44497,42988,40495,37017,33962
Hainan,,75903,73335,67541,64063,56211,55054,51220,47205,43648
Chongqing,,100903,95610,89562,87502,78656,74601,69341,64793,59130
Sichuan,,77333,73293,68804,65856,59138,56584,52425,46574,41198
Guizhou,,58685,55728,53398,51677,47517,44985,41670,37210,32505
Yunnan,,67612,65334,62456,59276,53443,50764,45610,40266,35918
Tibet,,75237,69489,61244,58609,53825,48961,45049,40086,35743
Shaanxi,,89915,85929,83529,77068,66583,66577,62169,55994,50142
Gansu,,52825,49811,46381,42508,37218,36040,33213,30316,28583
Qinghai,,66568,64747,61857,58067,52081,51321,47739,43099,39874
Ningxia,,75484,73696,71137,64543,56136,53841,50610,46737,41382
Xinjiang,,78660,75616,71679,64845,55398,55227,52441,46703,41196
Data Sources:National Bureau of Statistics
