Database:Annual by Province
Indicators:Population Aged 65 and Over (Sample Survey)(person)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,3703,3650,3382,3300,,1909,1989,2225,2129
Tianjin,,2606,2572,2374,2315,,1461,1397,1442,1482
Hebei,,12498,12640,11885,11769,,7767,7854,7326,6845
Shanxi,,5598,5549,5163,5043,,3190,3147,2746,2688
Inner Mongolia,,3942,3899,3613,3518,,2013,2047,2260,1995
Liaoning,,9366,9273,8605,8424,,5382,5353,5063,4849
Jilin,,4629,4594,4269,4205,,2783,2743,2735,2490
Heilongjiang,,6051,6065,5657,5553,,4020,3780,3793,3805
Shanghai,,5169,5123,4732,4600,,3055,2972,2827,2617
Jiangsu,,16478,16569,15586,15354,,9447,9435,9210,9048
Zhejiang,,10789,10756,10046,9815,,6374,6108,5812,5449
Anhui,,9885,10228,9912,9997,,6923,6840,6713,5969
Fujian,,5591,5561,5231,5117,,3086,3065,3069,3231
Jiangxi,,6435,6411,6044,5936,,3686,3707,3723,3702
Shandong,,18400,18577,17407,17152,,12402,12495,10672,9725
Henan,,15144,15389,14712,14644,,8711,8698,8567,8075
Hubei,,10385,10418,9753,9524,,6026,6059,5955,5716
Hunan,,11228,11386,10904,10849,,7078,7057,6895,6814
Guangdong,,13399,13330,12440,12252,,7672,7687,7121,7086
Guangxi,,7208,7310,6790,6716,,3930,4046,3936,3943
Hainan,,1278,1284,1187,1168,,685,629,626,635
Chongqing,,6194,6353,6024,6041,,3725,3678,3618,3570
Sichuan,,15878,16268,15546,15590,,10266,10244,9557,9513
Guizhou,,5127,5216,4789,4799,,3271,3344,2946,2879
Yunnan,,5783,5880,5608,5601,,3743,3790,3336,3362
Tibet,,240,234,220,225,,165,160,162,139
Shaanxi,,6381,6338,5948,5861,,3633,3536,3512,3439
Gansu,,3449,3542,3429,3439,,2377,2446,2243,2186
Qinghai,,646,654,623,622,,404,375,390,360
Ningxia,,798,806,778,772,,514,507,476,441
Xinjiang,,2393,2376,2223,2217,,1586,1458,1472,1458
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.
Data Sources:National Bureau of Statistics
