Database:Annual by Province
Indicators:Population (Sample Survey)(person)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,22470,23018,22372,23185,,16666,17673,17801,18132
Tianjin,,14037,14362,13959,14541,,12095,12794,12778,13046
Hebei,,75943,77846,76002,78885,,59087,61907,62086,62750
Shanxi,,35463,36496,35655,36863,,29012,30481,30550,30910
Inner Mongolia,,24578,25229,24595,25418,,19744,20781,20849,21136
Liaoning,,42763,44035,42990,44797,,33800,35744,35969,36668
Jilin,,23845,24629,24045,25158,,20939,22173,22424,22945
Heilongjiang,,31174,32242,31744,33098,,29177,30946,31251,31874
Shanghai,,25520,26187,25347,26365,,18785,19877,19826,20188
Jiangsu,,87756,89776,87223,90085,,62652,65996,66100,66998
Zhejiang,,68651,69780,67369,69273,,45420,47034,46573,46831
Anhui,,63020,64452,62763,64744,,49562,51812,51658,52056
Fujian,,43162,44046,42900,44352,,30869,32309,32221,32474
Jiangxi,,46339,47541,46380,47847,,36318,38080,38163,38576
Shandong,,103752,106592,104093,107712,,78318,82408,82502,83464
Henan,,100717,103349,101113,104679,,75087,78679,79005,80140
Hubei,,60048,61472,59860,61748,,46101,48498,48684,49384
Hunan,,67303,69159,67649,70141,,53851,56516,56647,57310
Guangdong,,131542,133790,129642,134340,,89429,93024,91922,92107
Guangxi,,51594,52933,51699,53347,,38653,40353,40385,40677
Hainan,,10785,10982,10515,10800,,7350,7658,7640,7698
Chongqing,,32828,33600,32914,34019,,24274,25416,25337,25560
Sichuan,,86091,88112,85772,88670,,65230,68344,68609,69457
Guizhou,,39732,40697,39500,40798,,28245,29487,29612,29915
Yunnan,,47918,49205,48066,49677,,37874,39584,39709,40141
Tibet,,3812,3843,3730,3873,,2743,2817,2797,2789
Shaanxi,,40691,41613,40518,41876,,30158,31684,31649,32014
Gansu,,25300,25956,25529,26368,,20642,21614,21720,21960
Qinghai,,6108,6255,6094,6289,,4733,4945,4939,4987
Ningxia,,7499,7676,7460,7678,,5404,5638,5627,5666
Xinjiang,,26995,27356,26497,27427,,19660,20375,20210,20165
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.
Data Sources:National Bureau of Statistics
