Database:Annual by Province
Indicators:Rural Population(10000 persons)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,257,266,271,274,273,277,283,287,291
Tianjin,,191,198,203,208,212,217,222,232,241
Hebei,,2699,2752,2846,2894,2980,3070,3169,3279,3402
Shanxi,,1161,1214,1255,1273,1308,1354,1406,1453,1502
Inner Mongolia,,699,729,754,763,781,810,835,861,892
Liaoning,,1073,1108,1133,1150,1185,1231,1276,1316,1347
Jilin,,793,825,852,870,896,939,972,1018,1059
Heilongjiang,,968,1007,1047,1072,1091,1152,1216,1295,1347
Shanghai,,252,262,264,266,266,267,269,269,271
Jiangsu,,2086,2128,2178,2216,2251,2332,2433,2512,2604
Zhejiang,,1637,1708,1751,1788,1800,1812,1881,1918,1960
Anhui,,2292,2356,2442,2482,2544,2618,2695,2769,2858
Fujian,,1182,1211,1252,1269,1300,1329,1355,1391,1430
Jiangxi,,1631,1665,1717,1741,1788,1848,1925,1998,2069
Shandong,,3379,3489,3604,3667,3756,3854,3884,3934,4076
Henan,,3990,4114,4238,4304,4431,4553,4711,4859,5008
Hubei,,1963,2016,2065,2094,2132,2262,2308,2369,2438
Hunan,,2480,2551,2621,2668,2740,2825,2913,3010,3134
Guangdong,,3079,3123,3191,3218,3263,3416,3481,3552,3555
Guangxi,,2136,2173,2238,2263,2299,2343,2383,2425,2465
Hainan,,387,392,395,398,402,404,401,408,414
Chongqing,,889,904,933,953,980,1013,1056,1100,1140
Sichuan,,3337,3390,3488,3531,3622,3728,3869,3997,4126
Guizhou,,1673,1703,1743,1759,1807,1867,1929,1987,2046
Yunnan,,2136,2200,2266,2296,2359,2420,2472,2521,2589
Tibet,,223,223,228,232,235,236,234,233,233
Shaanxi,,1338,1377,1423,1438,1477,1527,1586,1637,1689
Gansu,,1061,1097,1142,1162,1195,1237,1265,1308,1359
Qinghai,,214,221,229,232,237,243,251,261,270
Ningxia,,232,238,245,246,253,261,269,275,287
Xinjiang,,1040,1059,1089,1107,1126,1138,1159,1193,1204
Data Sources:National Bureau of Statistics
