Database:Annual by Province
Indicators:Student-Teacher Ratio of Junior Secondary School
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,10.08,9.19,8.88,8.87,8.68,8.33,7.83,7.73,8.02
Tianjin,,12.62,12.02,11.78,11.21,11.02,10.71,10.20,9.76,9.63
Hebei,,13.76,13.62,13.57,13.39,13.72,14.11,14.17,13.87,13.59
Shanxi,,11.06,10.83,10.56,10.28,10.27,10.45,10.50,10.00,9.92
Inner Mongolia,,10.30,10.20,10.44,10.57,10.87,11.14,10.93,10.74,10.73
Liaoning,,9.80,9.47,9.66,9.94,10.14,10.18,9.96,9.68,9.89
Jilin,,9.11,9.06,8.99,8.99,9.27,9.88,10.04,9.57,9.34
Heilongjiang,,9.53,9.58,9.46,9.77,9.96,10.38,10.48,10.08,9.99
Shanghai,,12.20,11.66,11.09,10.80,10.47,10.47,10.55,10.48,10.85
Jiangsu,,12.16,11.93,11.83,11.85,11.96,12.06,11.83,11.48,11.04
Zhejiang,,12.81,12.56,12.38,12.24,12.29,12.54,12.66,12.50,12.34
Anhui,,13.76,13.63,13.37,13.50,13.53,13.48,13.16,13.00,12.79
Fujian,,13.69,13.35,13.48,13.54,13.46,13.04,12.64,12.17,11.69
Jiangxi,,13.20,13.36,13.67,14.33,15.15,16.11,16.07,15.85,15.08
Shandong,,12.85,12.68,12.55,12.28,12.24,12.32,12.26,11.94,11.79
Henan,,13.87,13.88,13.66,13.66,13.87,14.32,14.38,14.35,14.52
Hubei,,12.84,12.86,12.72,12.58,12.65,12.42,12.24,11.53,10.95
Hunan,,13.23,13.40,13.25,13.16,13.33,13.65,13.71,13.38,13.29
Guangdong,,14.11,13.97,13.83,13.62,13.47,13.34,13.00,12.73,12.61
Guangxi,,14.83,14.80,14.57,14.61,14.83,15.48,15.48,15.68,16.10
Hainan,,13.27,13.04,13.39,13.35,13.63,13.67,13.44,12.85,12.51
Chongqing,,12.46,12.37,12.71,13.20,13.77,13.74,13.43,13.00,12.82
Sichuan,,12.34,12.30,12.40,12.49,12.81,12.93,12.78,12.37,12.34
Guizhou,,14.56,14.65,14.44,13.87,13.80,13.98,14.10,14.35,14.88
Yunnan,,13.71,13.59,13.45,13.20,13.09,13.79,14.07,14.52,14.81
Tibet,,12.39,11.99,11.94,11.55,11.55,11.72,12.01,12.40,11.96
Shaanxi,,12.84,12.34,11.98,11.55,11.55,11.24,11.02,10.50,10.31
Gansu,,11.51,11.34,10.94,10.75,10.76,10.88,10.88,10.57,10.64
Qinghai,,14.29,13.81,13.61,13.09,13.34,13.49,13.62,12.80,12.86
Ningxia,,13.84,13.50,13.25,13.60,14.15,14.46,14.19,13.84,13.92
Xinjiang,,13.94,13.53,13.19,12.45,11.61,10.96,10.75,10.49,10.54
Data Sources:National Bureau of Statistics
