Database:Annual by Province
Indicators:Student-Teacher Ratio of Primary School
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,14.53,14.73,14.13,13.92,14.01,13.58,13.65,13.58,14.05
Tianjin,,15.91,15.90,15.59,15.26,15.38,15.10,15.03,15.06,15.19
Hebei,,15.60,16.10,16.25,16.59,17.07,17.18,17.32,17.42,17.66
Shanxi,,13.72,13.96,13.70,13.56,13.98,13.67,13.60,13.49,13.24
Inner Mongolia,,12.23,12.57,12.59,13.09,13.13,13.25,13.33,13.30,13.47
Liaoning,,14.16,14.29,14.00,14.03,14.28,14.20,14.27,13.88,14.16
Jilin,,10.80,11.15,10.95,11.03,11.28,11.29,11.27,11.33,11.53
Heilongjiang,,10.92,11.16,11.10,11.60,12.00,11.94,11.93,12.02,12.05
Shanghai,,13.67,13.99,14.02,14.10,14.01,13.90,14.09,14.35,14.79
Jiangsu,,15.81,16.16,16.16,16.31,16.79,17.25,17.73,17.99,18.06
Zhejiang,,17.33,17.25,16.93,16.80,16.79,16.99,17.14,17.26,17.75
Anhui,,17.27,17.60,17.44,17.42,17.98,18.09,18.32,17.98,17.90
Fujian,,17.40,17.69,17.58,17.79,18.82,18.79,18.68,18.19,18.00
Jiangxi,,15.36,15.70,15.83,16.14,16.77,17.25,17.95,18.63,19.29
Shandong,,17.15,17.01,16.27,16.14,16.36,16.68,16.86,16.79,16.91
Henan,,15.73,16.02,16.26,16.70,17.42,17.91,18.18,18.63,19.08
Hubei,,16.95,17.36,17.32,17.47,18.15,18.07,18.01,17.44,17.13
Hunan,,16.32,16.71,16.70,17.04,17.81,18.42,19.01,19.24,19.78
Guangdong,,17.96,18.10,18.01,18.22,18.43,18.68,18.64,18.55,18.60
Guangxi,,16.80,17.13,17.32,17.60,18.00,18.53,18.50,18.77,19.41
Hainan,,14.95,14.97,15.07,15.35,15.87,16.26,16.40,16.26,16.18
Chongqing,,15.28,15.31,15.16,15.24,15.50,16.02,16.56,16.76,17.05
Sichuan,,15.45,15.60,15.59,15.71,16.03,16.45,16.84,16.98,17.48
Guizhou,,17.83,18.13,18.19,18.63,18.48,18.27,17.89,17.92,17.93
Yunnan,,16.70,16.65,16.33,16.30,16.40,16.69,16.62,16.51,16.59
Tibet,,14.28,14.40,14.78,14.40,14.41,14.72,14.54,15.43,14.37
Shaanxi,,15.54,15.90,15.90,16.02,16.33,16.26,16.18,15.86,15.48
Gansu,,13.26,13.41,13.30,13.31,13.32,13.08,13.24,13.07,12.91
Qinghai,,17.24,17.37,17.40,17.26,17.63,17.60,17.68,17.02,17.34
Ningxia,,17.34,17.32,16.97,17.25,17.52,17.04,16.86,16.98,17.09
Xinjiang,,17.44,17.70,17.66,17.24,16.34,15.57,15.30,14.91,14.75
Data Sources:National Bureau of Statistics
