Database:Annual by Province
Indicators:Urban Population(10000 persons)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,1926,1920,1913,1915,1916,1913,1909,1907,1904
Tianjin,,1173,1166,1160,1165,1175,1168,1161,1178,1202
Hebei,,4679,4641,4574,4554,4484,4377,4257,4130,3973
Shanxi,,2285,2252,2226,2207,2182,2143,2096,2057,2012
Inner Mongolia,,1689,1667,1647,1637,1622,1605,1587,1572,1544
Liaoning,,3082,3074,3064,3079,3070,3046,3015,2996,2980
Jilin,,1524,1514,1496,1505,1503,1509,1512,1508,1508
Heilongjiang,,2061,2055,2052,2053,2080,2103,2111,2104,2116
Shanghai,,2228,2225,2211,2223,2222,2214,2206,2197,2196
Jiangsu,,6440,6398,6337,6289,6226,6137,6013,5911,5777
Zhejiang,,5033,4919,4826,4752,4668,4563,4392,4252,4112
Anhui,,3831,3765,3685,3631,3561,3474,3381,3288,3175
Fujian,,3011,2972,2936,2918,2861,2808,2749,2674,2586
Jiangxi,,2871,2850,2811,2776,2731,2668,2588,2513,2427
Shandong,,6701,6634,6559,6503,6409,6252,6193,6099,5897
Henan,,5795,5701,5634,5579,5510,5348,5153,4970,4770
Hubei,,3871,3822,3779,3736,3613,3665,3609,3535,3447
Hunan,,4059,4017,3983,3954,3905,3815,3722,3623,3491
Guangdong,,9701,9583,9466,9466,9361,9073,8867,8589,8353
Guangxi,,2877,2854,2809,2774,2720,2639,2564,2482,2392
Hainan,,661,651,632,622,610,591,581,564,543
Chongqing,,2301,2287,2280,2259,2229,2175,2107,2044,1970
Sichuan,,5027,4978,4886,4841,4749,4623,4452,4292,4126
Guizhou,,2187,2162,2113,2093,2051,1981,1893,1816,1712
Yunnan,,2519,2473,2427,2394,2363,2294,2231,2172,2088
Tibet,,147,142,136,134,131,125,120,116,107
Shaanxi,,2615,2575,2533,2516,2478,2417,2345,2267,2185
Gansu,,1397,1368,1350,1328,1306,1272,1250,1214,1161
Qinghai,,379,373,366,362,356,347,336,325,312
Ningxia,,497,491,483,479,468,456,441,430,408
Xinjiang,,1583,1539,1498,1482,1464,1421,1361,1287,1224
Data Sources:National Bureau of Statistics
