province,year,beds
Beijing,2024,14.11
Beijing,2023,13.88
Beijing,2022,13.39
Beijing,2021,13.03
Beijing,2020,12.7
Beijing,2019,12.78
Beijing,2018,12.36
Beijing,2017,12.06
Beijing,2016,11.7
Tianjin,2024,7.32
Tianjin,2023,7.25
Tianjin,2022,6.85
Tianjin,2021,6.87
Tianjin,2020,6.83
Tianjin,2019,6.83
Tianjin,2018,6.82
Tianjin,2017,6.84
Tianjin,2016,6.58
Hebei,2024,54.69
Hebei,2023,53.4
Hebei,2022,48.57
Hebei,2021,45.5
Hebei,2020,44.2
Hebei,2019,43.01
Hebei,2018,42.19
Hebei,2017,39.5
Hebei,2016,36.05
Shanxi,2024,22.99
Shanxi,2023,23.23
Shanxi,2022,22.84
Shanxi,2021,22.89
Shanxi,2020,22.37
Shanxi,2019,21.84
Shanxi,2018,20.83
Shanxi,2017,19.75
Shanxi,2016,18.97
Inner Mongolia,2024,17.36
Inner Mongolia,2023,17.31
Inner Mongolia,2022,16.77
Inner Mongolia,2021,16.66
Inner Mongolia,2020,16.21
Inner Mongolia,2019,16.11
Inner Mongolia,2018,15.9
Inner Mongolia,2017,15.03
Inner Mongolia,2016,13.92
Liaoning,2024,33.77
Liaoning,2023,33.42
Liaoning,2022,32.62
Liaoning,2021,32.45
Liaoning,2020,31.45
Liaoning,2019,31.38
Liaoning,2018,31.44
Liaoning,2017,29.86
Liaoning,2016,28.44
Jilin,2024,17.77
Jilin,2023,18.37
Jilin,2022,17.72
Jilin,2021,17.65
Jilin,2020,17.31
Jilin,2019,17.03
Jilin,2018,16.7
Jilin,2017,15.37
Jilin,2016,15.12
Heilongjiang,2024,27.3
Heilongjiang,2023,27.33
Heilongjiang,2022,26.13
Heilongjiang,2021,26.05
Heilongjiang,2020,25.33
Heilongjiang,2019,26.26
Heilongjiang,2018,25.01
Heilongjiang,2017,24.17
Heilongjiang,2016,22.01
Shanghai,2024,18.61
Shanghai,2023,17.5
Shanghai,2022,16.53
Shanghai,2021,16.04
Shanghai,2020,15.22
Shanghai,2019,14.65
Shanghai,2018,13.9
Shanghai,2017,13.46
Shanghai,2016,12.92
Jiangsu,2024,60.41
Jiangsu,2023,57.88
Jiangsu,2022,56.3
Jiangsu,2021,54.86
Jiangsu,2020,53.5
Jiangsu,2019,51.6
Jiangsu,2018,49.15
Jiangsu,2017,46.92
Jiangsu,2016,44.31
Zhejiang,2024,41.32
Zhejiang,2023,40.61
Zhejiang,2022,38.17
Zhejiang,2021,36.99
Zhejiang,2020,36.13
Zhejiang,2019,35.02
Zhejiang,2018,33.21
Zhejiang,2017,31.35
Zhejiang,2016,28.99
Anhui,2024,44.9
Anhui,2023,45.35
Anhui,2022,44.4
Anhui,2021,41.1
Anhui,2020,40.78
Anhui,2019,34.74
Anhui,2018,32.81
Anhui,2017,30.57
Anhui,2016,28.17
Fujian,2024,24.89
Fujian,2023,24.21
Fujian,2022,23.24
Fujian,2021,22.38
Fujian,2020,21.68
Fujian,2019,20.22
Fujian,2018,19.25
Fujian,2017,18.24
Fujian,2016,17.48
Jiangxi,2024,34.05
Jiangxi,2023,34.07
Jiangxi,2022,31.45
Jiangxi,2021,30.73
Jiangxi,2020,28.58
Jiangxi,2019,26.71
Jiangxi,2018,24.95
Jiangxi,2017,23.4
Jiangxi,2016,20.91
Shandong,2024,76.1
Shandong,2023,73.86
Shandong,2022,69.36
Shandong,2021,67.39
Shandong,2020,64.69
Shandong,2019,62.97
Shandong,2018,60.85
Shandong,2017,58.48
Shandong,2016,54.1
Henan,2024,76.51
Henan,2023,77.74
Henan,2022,75.22
Henan,2021,72.13
Henan,2020,66.72
Henan,2019,64.01
Henan,2018,60.85
Henan,2017,55.9
Henan,2016,52.15
Hubei,2024,47.58
Hubei,2023,47.61
Hubei,2022,45.03
Hubei,2021,43.4
Hubei,2020,41.14
Hubei,2019,40.33
Hubei,2018,39.35
Hubei,2017,37.62
Hubei,2016,36.06
Hunan,2024,52.32
Hunan,2023,53.39
Hunan,2022,54.45
Hunan,2021,53.27
Hunan,2020,51.99
Hunan,2019,50.63
Hunan,2018,48.24
Hunan,2017,45.23
Hunan,2016,42.58
Guangdong,2024,64.44
Guangdong,2023,62.86
Guangdong,2022,60.83
Guangdong,2021,58.9
Guangdong,2020,56.48
Guangdong,2019,54.52
Guangdong,2018,51.69
Guangdong,2017,49.21
Guangdong,2016,46.51
Guangxi,2024,37.73
Guangxi,2023,36.2
Guangxi,2022,34.17
Guangxi,2021,31.9
Guangxi,2020,29.56
Guangxi,2019,27.74
Guangxi,2018,25.59
Guangxi,2017,24.11
Guangxi,2016,22.45
Hainan,2024,6.15
