province,year,birth_rate
Beijing,2024,6.09
Beijing,2023,5.63
Beijing,2022,5.67
Beijing,2021,6.35
Beijing,2020,6.99
Beijing,2019,8.12
Beijing,2018,8.24
Beijing,2017,9.06
Beijing,2016,9.32
Tianjin,2024,4.99
Tianjin,2023,4.47
Tianjin,2022,4.75
Tianjin,2021,5.3
Tianjin,2020,5.99
Tianjin,2019,6.73
Tianjin,2018,6.67
Tianjin,2017,7.65
Tianjin,2016,7.37
Hebei,2024,5.9
Hebei,2023,5.54
Hebei,2022,6.09
Hebei,2021,7.15
Hebei,2020,8.16
Hebei,2019,10.83
Hebei,2018,11.26
Hebei,2017,13.2
Hebei,2016,12.42
Shanxi,2024,6.94
Shanxi,2023,6.13
Shanxi,2022,6.75
Shanxi,2021,7.06
Shanxi,2020,8.26
Shanxi,2019,9.12
Shanxi,2018,9.63
Shanxi,2017,11.06
Shanxi,2016,10.29
Inner Mongolia,2024,5.52
Inner Mongolia,2023,5
Inner Mongolia,2022,5.58
Inner Mongolia,2021,6.26
Inner Mongolia,2020,7.2
Inner Mongolia,2019,8.23
Inner Mongolia,2018,8.35
Inner Mongolia,2017,9.47
Inner Mongolia,2016,9.03
Liaoning,2024,4.32
Liaoning,2023,4.06
Liaoning,2022,4.08
Liaoning,2021,4.71
Liaoning,2020,5.16
Liaoning,2019,6.45
Liaoning,2018,6.39
Liaoning,2017,6.49
Liaoning,2016,6.6
Jilin,2024,4.17
Jilin,2023,3.76
Jilin,2022,4.32
Jilin,2021,4.7
Jilin,2020,4.84
Jilin,2019,6.05
Jilin,2018,6.62
Jilin,2017,6.76
Jilin,2016,5.55
Heilongjiang,2024,3.35
Heilongjiang,2023,2.92
Heilongjiang,2022,3.34
Heilongjiang,2021,3.59
Heilongjiang,2020,3.75
Heilongjiang,2019,5.73
Heilongjiang,2018,5.98
Heilongjiang,2017,6.22
Heilongjiang,2016,6.12
Shanghai,2024,4.75
Shanghai,2023,3.95
Shanghai,2022,4.35
Shanghai,2021,4.67
Shanghai,2020,5.02
Shanghai,2019,7
Shanghai,2018,7.2
Shanghai,2017,8.1
Shanghai,2016,9
Jiangsu,2024,4.98
Jiangsu,2023,4.81
Jiangsu,2022,5.23
Jiangsu,2021,5.65
Jiangsu,2020,6.65
Jiangsu,2019,9.12
Jiangsu,2018,9.32
Jiangsu,2017,9.71
Jiangsu,2016,9.76
Zhejiang,2024,6.17
Zhejiang,2023,5.8
Zhejiang,2022,6.28
Zhejiang,2021,6.9
Zhejiang,2020,7.13
Zhejiang,2019,10.51
Zhejiang,2018,11.02
Zhejiang,2017,11.92
Zhejiang,2016,11.22
Anhui,2024,6.17
Anhui,2023,6.45
Anhui,2022,7.16
Anhui,2021,8.05
Anhui,2020,9.45
Anhui,2019,12.03
Anhui,2018,12.41
Anhui,2017,14.07
Anhui,2016,13.02
Fujian,2024,6.95
Fujian,2023,6.81
Fujian,2022,7.07
Fujian,2021,8.26
Fujian,2020,9.21
Fujian,2019,12.9
Fujian,2018,13.2
Fujian,2017,15
Fujian,2016,14.5
Jiangxi,2024,6.65
Jiangxi,2023,6.52
Jiangxi,2022,7.19
Jiangxi,2021,8.34
Jiangxi,2020,9.48
Jiangxi,2019,12.59
Jiangxi,2018,13.43
Jiangxi,2017,13.79
Jiangxi,2016,13.45
Shandong,2024,6.42
Shandong,2023,6.01
Shandong,2022,6.71
Shandong,2021,7.38
Shandong,2020,8.56
Shandong,2019,11.77
Shandong,2018,13.26
Shandong,2017,17.54
Shandong,2016,17.89
Henan,2024,7.78
Henan,2023,7.06
Henan,2022,7.42
Henan,2021,8
Henan,2020,9.24
Henan,2019,11.02
Henan,2018,11.72
Henan,2017,12.95
Henan,2016,13.26
Hubei,2024,5.38
Hubei,2023,5.48
Hubei,2022,6.08
Hubei,2021,6.98
Hubei,2020,8.28
Hubei,2019,11.35
Hubei,2018,11.54
Hubei,2017,12.6
Hubei,2016,12.04
Hunan,2024,5.89
Hunan,2023,6
Hunan,2022,6.23
Hunan,2021,7.13
Hunan,2020,8.53
Hunan,2019,10.39
Hunan,2018,12.19
Hunan,2017,13.27
Hunan,2016,13.57
Guangdong,2024,8.89
Guangdong,2023,8.12
Guangdong,2022,8.3
Guangdong,2021,9.35
Guangdong,2020,10.28
Guangdong,2019,12.54
Guangdong,2018,12.79
Guangdong,2017,13.68
Guangdong,2016,11.85
Guangxi,2024,8.37
Guangxi,2023,8.04
Guangxi,2022,8.51
Guangxi,2021,9.68
Guangxi,2020,11.36
Guangxi,2019,13.31
Guangxi,2018,14.12
Guangxi,2017,15.14
Guangxi,2016,13.82
Hainan,2024,9.37
Hainan,2023,9.28
Hainan,2022,8.6
Hainan,2021,9.74
Hainan,2020,10.36
Hainan,2019,12.87
Hainan,2018,14.48
Hainan,2017,14.73
Hainan,2016,14.57
Chongqing,2024,5.99
Chongqing,2023,5.58
Chongqing,2022,5.98
Chongqing,2021,6.49
Chongqing,2020,7.47
Chongqing,2019,10.48
Chongqing,2018,11.02
Chongqing,2017,11.18
Chongqing,2016,11.77
Sichuan,2024,6.41
Sichuan,2023,6.32
Sichuan,2022,6.39
Sichuan,2021,6.85
Sichuan,2020,7.6
Sichuan,2019,10.7
Sichuan,2018,11.05
Sichuan,2017,11.26
Sichuan,2016,10.48
Guizhou,2024,10.74
Guizhou,2023,10.65
Guizhou,2022,11.03
Guizhou,2021,12.17
Guizhou,2020,13.7
Guizhou,2019,13.65
Guizhou,2018,13.9
Guizhou,2017,13.98
Guizhou,2016,13.43
Yunnan,2024,8.62
Yunnan,2023,8.22
Yunnan,2022,8.14
Yunnan,2021,9.35
Yunnan,2020,10.96
Yunnan,2019,12.63
Yunnan,2018,13.19
Yunnan,2017,13.53
Yunnan,2016,13.16
Tibet,2024,13.87
Tibet,2023,13.72
Tibet,2022,14.24
Tibet,2021,14.17
Tibet,2020,13.96
Tibet,2019,14.6
Tibet,2018,15.22
Tibet,2017,16
Tibet,2016,15.79
Shaanxi,2024,7.36
Shaanxi,2023,6.83
Shaanxi,2022,7.36
Shaanxi,2021,7.89
Shaanxi,2020,8.95
Shaanxi,2019,10.55
Shaanxi,2018,10.67
Shaanxi,2017,11.11
Shaanxi,2016,10.64
Gansu,2024,8
Gansu,2023,7.71
Gansu,2022,8.47
Gansu,2021,9.68
Gansu,2020,10.55
Gansu,2019,10.6
Gansu,2018,11.07
Gansu,2017,12.54
Gansu,2016,12.18
Qinghai,2024,10.11
Qinghai,2023,9.25
Qinghai,2022,10.6
Qinghai,2021,11.22
Qinghai,2020,11.43
Qinghai,2019,13.66
Qinghai,2018,14.31
Qinghai,2017,14.42
Qinghai,2016,14.7
Ningxia,2024,10.97
Ningxia,2023,10.02
Ningxia,2022,10.6
Ningxia,2021,11.62
Ningxia,2020,11.59
Ningxia,2019,13.72
Ningxia,2018,13.32
Ningxia,2017,13.44
Ningxia,2016,13.69
Xinjiang,2024,9.42
Xinjiang,2023,7.1
Xinjiang,2022,6.53
Xinjiang,2021,6.16
Xinjiang,2020,6.94
Xinjiang,2019,8.14
Xinjiang,2018,10.69
Xinjiang,2017,15.88
Xinjiang,2016,15.34
