province,year,cdr
Beijing,2024,16.7
Beijing,2023,16.7
Beijing,2022,16.6
Beijing,2021,16.4
Beijing,2020,NA
Beijing,2019,13.3
Beijing,2018,13.4
Beijing,2017,14.3
Beijing,2016,14.1
Tianjin,2024,17.5
Tianjin,2023,18
Tianjin,2022,18.5
Tianjin,2021,18.7
Tianjin,2020,NA
Tianjin,2019,13.2
Tianjin,2018,13
Tianjin,2017,14.6
Tianjin,2016,14
Hebei,2024,25.5
Hebei,2023,27
Hebei,2022,28.2
Hebei,2021,29.2
Hebei,2020,NA
Hebei,2019,27.7
Hebei,2018,26.9
Hebei,2017,25.6
Hebei,2016,26.1
Shanxi,2024,20.9
Shanxi,2023,21.4
Shanxi,2022,22
Shanxi,2021,22.6
Shanxi,2020,NA
Shanxi,2019,20.9
Shanxi,2018,21.1
Shanxi,2017,20.7
Shanxi,2016,20.2
Inner Mongolia,2024,17.5
Inner Mongolia,2023,18
Inner Mongolia,2022,18.5
Inner Mongolia,2021,19
Inner Mongolia,2020,NA
Inner Mongolia,2019,17
Inner Mongolia,2018,17.3
Inner Mongolia,2017,17.9
Inner Mongolia,2016,16.5
Liaoning,2024,14.4
Liaoning,2023,14.7
Liaoning,2022,15
Liaoning,2021,15.3
Liaoning,2020,NA
Liaoning,2019,13.8
Liaoning,2018,13.6
Liaoning,2017,13.4
Liaoning,2016,14
Jilin,2024,14.1
Jilin,2023,14.5
Jilin,2022,15.1
Jilin,2021,15.5
Jilin,2020,NA
Jilin,2019,15.7
Jilin,2018,16.3
Jilin,2017,16.5
Jilin,2016,16.5
Heilongjiang,2024,11.6
Heilongjiang,2023,12.2
Heilongjiang,2022,12.7
Heilongjiang,2021,13.3
Heilongjiang,2020,NA
Heilongjiang,2019,13.1
Heilongjiang,2018,13.7
Heilongjiang,2017,12.8
Heilongjiang,2016,12.9
Shanghai,2024,13.5
Shanghai,2023,13.5
Shanghai,2022,13.7
Shanghai,2021,13.5
Shanghai,2020,NA
Shanghai,2019,13.6
Shanghai,2018,13.1
Shanghai,2017,13.1
Shanghai,2016,12.5
Jiangsu,2024,19.1
Jiangsu,2023,20
Jiangsu,2022,20.8
Jiangsu,2021,21.5
Jiangsu,2020,NA
Jiangsu,2019,19.4
Jiangsu,2018,19.1
Jiangsu,2017,18.5
Jiangsu,2016,18.9
Zhejiang,2024,17.1
Zhejiang,2023,17.5
Zhejiang,2022,18
Zhejiang,2021,18.3
Zhejiang,2020,NA
Zhejiang,2019,17.9
Zhejiang,2018,18.7
Zhejiang,2017,16.2
Zhejiang,2016,17.2
Anhui,2024,24.6
Anhui,2023,26
Anhui,2022,27.2
Anhui,2021,28.3
Anhui,2020,NA
Anhui,2019,27.7
Anhui,2018,27.3
