province,year,grp_per_capita
Beijing,2024,228167
Beijing,2023,216722
Beijing,2022,206826
Beijing,2021,202607
Beijing,2020,175856
Beijing,2019,172373
Beijing,2018,160335
Beijing,2017,142715
Beijing,2016,129739
Tianjin,2024,132143
Tianjin,2023,126232
Tianjin,2022,121261
Tianjin,2021,116618
Tianjin,2020,102675
Tianjin,2019,101858
Tianjin,2018,96034
Tianjin,2017,87404
Tianjin,2016,79716
Hebei,2024,64352
Hebei,2023,61649
Hebei,2022,58109
Hebei,2021,55265
Hebei,2020,49388
Hebei,2019,47904
Hebei,2018,44418
Hebei,2017,42026
Hebei,2016,39239
Shanxi,2024,73769
Shanxi,2023,74999
Shanxi,2022,73705
Shanxi,2021,66249
Shanxi,2020,52105
Shanxi,2019,49467
Shanxi,2018,46073
Shanxi,2017,41791
Shanxi,2016,34580
Inner Mongolia,2024,110011
Inner Mongolia,2023,104317
Inner Mongolia,2022,99128
Inner Mongolia,2021,89880
Inner Mongolia,2020,73156
Inner Mongolia,2019,72274
Inner Mongolia,2018,66953
Inner Mongolia,2017,61655
Inner Mongolia,2016,56928
Liaoning,2024,78236
Liaoning,2023,74925
Liaoning,2022,70590
Liaoning,2021,67117
Liaoning,2020,60570
Liaoning,2019,59911
Liaoning,2018,56058
Liaoning,2017,51176
Liaoning,2016,48083
Jilin,2024,61689
Jilin,2023,59495
Jilin,2022,55564
Jilin,2021,56268
Jilin,2020,51576
Jilin,2019,48456
Jilin,2018,45658
Jilin,2017,43522
Jilin,2016,40940
Heilongjiang,2024,54102
Heilongjiang,2023,53468
Heilongjiang,2022,52568
Heilongjiang,2021,48579
Heilongjiang,2020,43573
Heilongjiang,2019,42426
Heilongjiang,2018,39268
Heilongjiang,2017,36898
Heilongjiang,2016,35128
Shanghai,2024,217140
Shanghai,2023,207193
Shanghai,2022,195788
Shanghai,2021,189107
Shanghai,2020,167454
Shanghai,2019,162394
Shanghai,2018,152880
Shanghai,2017,139381
Shanghai,2016,125742
Jiangsu,2024,160694
Jiangsu,2023,153658
Jiangsu,2022,146374
Jiangsu,2021,141153
Jiangsu,2020,123411
Jiangsu,2019,118045
Jiangsu,2018,110802
Jiangsu,2017,102961
Jiangsu,2016,93748
Zhejiang,2024,135565
Zhejiang,2023,129687
Zhejiang,2022,123153
Zhejiang,2021,118028
Zhejiang,2020,104593
Zhejiang,2019,102201
Zhejiang,2018,95333
Zhejiang,2017,86808
Zhejiang,2016,79781
Anhui,2024,82694
Anhui,2023,78752
Anhui,2022,74387
Anhui,2021,70556
