province,year,medical_staff
Beijing,2024,32.39
Beijing,2023,31.28
Beijing,2022,29.55
Beijing,2021,28.9
Beijing,2020,27.61
Beijing,2019,27.12
Beijing,2018,25.59
Beijing,2017,24.6
Beijing,2016,23.4
Tianjin,2024,13.88
Tianjin,2023,13.37
Tianjin,2022,12.44
Tianjin,2021,12.17
Tianjin,2020,11.4
Tianjin,2019,10.98
Tianjin,2018,10.46
Tianjin,2017,10.1
Tianjin,2016,9.5
Hebei,2024,69.81
Hebei,2023,64.49
Hebei,2022,58.34
Hebei,2021,55.94
Hebei,2020,51.96
Hebei,2019,49.01
Hebei,2018,46.11
Hebei,2017,42.52
Hebei,2016,39.31
Shanxi,2024,31.78
Shanxi,2023,29.82
Shanxi,2022,28.39
Shanxi,2021,28.15
Shanxi,2020,26.84
Shanxi,2019,25.79
Shanxi,2018,24.64
Shanxi,2017,23.33
Shanxi,2016,22.59
Inner Mongolia,2024,24.97
Inner Mongolia,2023,23.45
Inner Mongolia,2022,21.7
Inner Mongolia,2021,21.17
Inner Mongolia,2020,20.23
Inner Mongolia,2019,19.64
Inner Mongolia,2018,18.82
Inner Mongolia,2017,18.04
Inner Mongolia,2016,17.04
Liaoning,2024,38.26
Liaoning,2023,35.76
Liaoning,2022,34.03
Liaoning,2021,33.4
Liaoning,2020,31.61
Liaoning,2019,30.92
Liaoning,2018,30.31
Liaoning,2017,29.12
Liaoning,2016,27.75
Jilin,2024,24.2
Jilin,2023,23.23
Jilin,2022,21.8
Jilin,2021,21.73
Jilin,2020,21.21
Jilin,2019,18.85
Jilin,2018,18.38
Jilin,2017,16.8
Jilin,2016,16.66
Heilongjiang,2024,27.74
Heilongjiang,2023,26.75
Heilongjiang,2022,25.31
Heilongjiang,2021,24.86
Heilongjiang,2020,24.25
Heilongjiang,2019,23.77
Heilongjiang,2018,23.08
Heilongjiang,2017,22.94
Heilongjiang,2016,22.14
Shanghai,2024,25.94
Shanghai,2023,24.58
Shanghai,2022,23.6
Shanghai,2021,22.9
Shanghai,2020,21.44
Shanghai,2019,20.45
Shanghai,2018,19.56
Shanghai,2017,18.69
Shanghai,2016,17.82
Jiangsu,2024,77.98
Jiangsu,2023,74.33
Jiangsu,2022,71.37
Jiangsu,2021,69.18
Jiangsu,2020,66.55
Jiangsu,2019,63.33
Jiangsu,2018,59.01
Jiangsu,2017,54.77
Jiangsu,2016,51.7
Zhejiang,2024,68.43
Zhejiang,2023,66.26
Zhejiang,2022,61.28
Zhejiang,2021,57.91
Zhejiang,2020,54.8
Zhejiang,2019,52.02
Zhejiang,2018,48.62
Zhejiang,2017,45.97
Zhejiang,2016,43.26
Anhui,2024,51.94
Anhui,2023,50.99
Anhui,2022,47.12
Anhui,2021,43.51
Anhui,2020,41.21
Anhui,2019,36.12
Anhui,2018,33.36
Anhui,2017,31.35
Anhui,2016,29.37
Fujian,2024,33.82
Fujian,2023,32.58
Fujian,2022,30.8
Fujian,2021,29.44
Fujian,2020,27.84
Fujian,2019,26.32
Fujian,2018,24.74
Fujian,2017,23.14
Fujian,2016,21.96
Jiangxi,2024,37.97
Jiangxi,2023,36.16
Jiangxi,2022,31.4
Jiangxi,2021,30.57
Jiangxi,2020,28.61
Jiangxi,2019,26.78
Jiangxi,2018,24.73
Jiangxi,2017,23.57
Jiangxi,2016,22.1
Shandong,2024,98.55
Shandong,2023,93.47
Shandong,2022,87.65
Shandong,2021,85.31
Shandong,2020,81.34
Shandong,2019,78.23
Shandong,2018,73.85
Shandong,2017,68.86
Shandong,2016,64.17
Henan,2024,89.46
Henan,2023,86.61
Henan,2022,80.54
Henan,2021,75.56
Henan,2020,70.68
Henan,2019,65.39
Henan,2018,62.15
Henan,2017,58.1
Henan,2016,54.7
Hubei,2024,51.08
Hubei,2023,49.72
Hubei,2022,46.86
Hubei,2021,45.64
Hubei,2020,42.85
Hubei,2019,41.62
Hubei,2018,41.1
Hubei,2017,39.97
Hubei,2016,38.45
Hunan,2024,57.09
Hunan,2023,56.97
Hunan,2022,51.92
Hunan,2021,50.62
Hunan,2020,49.78
Hunan,2019,50.23
Hunan,2018,43.7
Hunan,2017,41.56
Hunan,2016,39.25
Guangdong,2024,100.98
Guangdong,2023,97.61
Guangdong,2022,91.63
Guangdong,2021,87.32
Guangdong,2020,82.94
Guangdong,2019,79.26
Guangdong,2018,75.52
Guangdong,2017,70.75
Guangdong,2016,66.53
Guangxi,2024,45.15
Guangxi,2023,43.35
Guangxi,2022,41.52
Guangxi,2021,39.39
Guangxi,2020,37.2
Guangxi,2019,34.14
Guangxi,2018,32.09
Guangxi,2017,30.53
Guangxi,2016,28.99
Hainan,2024,8.99
Hainan,2023,8.65
Hainan,2022,8.26
Hainan,2021,8.05
Hainan,2020,7.44
Hainan,2019,6.77
Hainan,2018,6.37
Hainan,2017,6.04
Hainan,2016,5.75
Chongqing,2024,28.35
Chongqing,2023,27.2
Chongqing,2022,25.32
Chongqing,2021,24.66
Chongqing,2020,23.77
Chongqing,2019,22.46
Chongqing,2018,20.93
