province,year,nov
Beijing,2024,2.89
Beijing,2023,2.74
Beijing,2022,2.19
Beijing,2021,2.26
Beijing,2020,1.81
Beijing,2019,2.48
Beijing,2018,2.34
Beijing,2017,2.22
Beijing,2016,2.3
Tianjin,2024,1.16
Tianjin,2023,1.13
Tianjin,2022,0.95
Tianjin,2021,1.03
Tianjin,2020,0.95
Tianjin,2019,1.19
Tianjin,2018,1.16
Tianjin,2017,1.16
Tianjin,2016,1.16
Hebei,2024,5.35
Hebei,2023,4.75
Hebei,2022,3.6
Hebei,2021,3.67
Hebei,2020,3.56
Hebei,2019,4
Hebei,2018,3.99
Hebei,2017,3.98
Hebei,2016,3.99
Shanxi,2024,1.49
Shanxi,2023,1.36
Shanxi,2022,1.17
Shanxi,2021,1.25
Shanxi,2020,1.14
Shanxi,2019,1.22
Shanxi,2018,1.19
Shanxi,2017,1.24
Shanxi,2016,1.19
Inner Mongolia,2024,1.16
Inner Mongolia,2023,1.09
Inner Mongolia,2022,0.9
Inner Mongolia,2021,0.95
Inner Mongolia,2020,0.9
Inner Mongolia,2019,1.01
Inner Mongolia,2018,0.99
Inner Mongolia,2017,0.98
Inner Mongolia,2016,0.96
Liaoning,2024,2.01
Liaoning,2023,1.82
Liaoning,2022,1.44
Liaoning,2021,1.55
Liaoning,2020,1.52
Liaoning,2019,1.87
Liaoning,2018,1.85
Liaoning,2017,1.86
Liaoning,2016,1.79
Jilin,2024,1.09
Jilin,2023,0.97
Jilin,2022,0.77
Jilin,2021,0.89
Jilin,2020,0.83
Jilin,2019,1
Jilin,2018,0.99
Jilin,2017,0.96
Jilin,2016,0.95
Heilongjiang,2024,1.14
Heilongjiang,2023,1.08
Heilongjiang,2022,0.86
Heilongjiang,2021,0.89
Heilongjiang,2020,0.79
Heilongjiang,2019,1.05
Heilongjiang,2018,1.04
Heilongjiang,2017,1.1
Heilongjiang,2016,1.1
Shanghai,2024,2.71
Shanghai,2023,2.55
Shanghai,2022,2.22
Shanghai,2021,2.63
Shanghai,2020,2.21
Shanghai,2019,2.71
Shanghai,2018,2.66
Shanghai,2017,2.62
Shanghai,2016,2.55
Jiangsu,2024,6.71
Jiangsu,2023,6.22
Jiangsu,2022,5.45
Jiangsu,2021,5.55
Jiangsu,2020,5.17
Jiangsu,2019,5.99
Jiangsu,2018,5.78
Jiangsu,2017,5.68
Jiangsu,2016,5.37
Zhejiang,2024,7.6
Zhejiang,2023,7.25
Zhejiang,2022,6.69
Zhejiang,2021,6.45
Zhejiang,2020,5.88
Zhejiang,2019,6.65
Zhejiang,2018,6.15
Zhejiang,2017,5.83
Zhejiang,2016,5.45
Anhui,2024,3.77
Anhui,2023,3.63
Anhui,2022,3.43
Anhui,2021,3.37
Anhui,2020,3.23
Anhui,2019,3.12
Anhui,2018,2.84
Anhui,2017,2.67
Anhui,2016,2.52
Fujian,2024,2.99
Fujian,2023,2.74
Fujian,2022,2.47
Fujian,2021,2.5
Fujian,2020,2.28
Fujian,2019,2.42
Fujian,2018,2.27
Fujian,2017,2.2
Fujian,2016,2.13
Jiangxi,2024,2.64
Jiangxi,2023,2.44
Jiangxi,2022,2.23
Jiangxi,2021,2.17
Jiangxi,2020,2.11
Jiangxi,2019,2.27
Jiangxi,2018,2.03
Jiangxi,2017,2.06
Jiangxi,2016,2.04
Shandong,2024,8.58
Shandong,2023,7.35
Shandong,2022,6.2
Shandong,2021,6.29
Shandong,2020,5.86
Shandong,2019,6.47
Shandong,2018,6.28
Shandong,2017,6.14
Shandong,2016,5.9
Henan,2024,6.57
Henan,2023,6.5
Henan,2022,5.83
Henan,2021,5.88
Henan,2020,5.48
Henan,2019,5.81
Henan,2018,5.56
Henan,2017,5.55
Henan,2016,5.48
Hubei,2024,3.63
Hubei,2023,3.47
Hubei,2022,3.23
Hubei,2021,3.22
Hubei,2020,2.81
Hubei,2019,3.41
Hubei,2018,3.39
Hubei,2017,3.43
Hubei,2016,3.4
Hunan,2024,3.65
Hunan,2023,3.69
Hunan,2022,3.11
Hunan,2021,2.76
Hunan,2020,2.5
Hunan,2019,2.64
Hunan,2018,2.52
Hunan,2017,2.51
Hunan,2016,2.46
Guangdong,2024,9.41
Guangdong,2023,8.8
Guangdong,2022,7.78
Guangdong,2021,7.91
Guangdong,2020,7.07
Guangdong,2019,8.72
Guangdong,2018,8.26
