province,year,odr
Beijing,2024,23
Beijing,2023,22
Beijing,2022,20.8
Beijing,2021,19.3
Beijing,2020,NA
Beijing,2019,14.7
Beijing,2018,14.4
Beijing,2017,16.3
Beijing,2016,15.2
Tianjin,2024,26.8
Tianjin,2023,25.8
Tianjin,2022,24.3
Tianjin,2021,22.5
Tianjin,2020,NA
Tianjin,2019,15.6
Tianjin,2018,13.9
Tianjin,2017,14.6
Tianjin,2016,14.6
Hebei,2024,24.7
Hebei,2023,24.6
Hebei,2022,23.8
Hebei,2021,22.7
Hebei,2020,NA
Hebei,2019,19.3
Hebei,2018,18.4
Hebei,2017,16.8
Hebei,2016,15.4
Shanxi,2024,22.7
Shanxi,2023,21.8
Shanxi,2022,20.7
Shanxi,2021,19.4
Shanxi,2020,NA
Shanxi,2019,14.9
Shanxi,2018,13.9
Shanxi,2017,11.9
Shanxi,2016,11.5
Inner Mongolia,2024,22.4
Inner Mongolia,2023,21.6
Inner Mongolia,2022,20.4
Inner Mongolia,2021,19.1
Inner Mongolia,2020,NA
Inner Mongolia,2019,13.3
Inner Mongolia,2018,12.8
Inner Mongolia,2017,14.3
Inner Mongolia,2016,12.1
Liaoning,2024,32.1
Liaoning,2023,30.6
Liaoning,2022,28.8
Liaoning,2021,26.7
Liaoning,2020,NA
Liaoning,2019,21.6
Liaoning,2018,20
Liaoning,2017,18.6
Liaoning,2016,17.4
Jilin,2024,27.5
Jilin,2023,26.3
Jilin,2022,24.8
Jilin,2021,23.2
Jilin,2020,NA
Jilin,2019,17.7
Jilin,2018,16.4
Jilin,2017,16.2
Jilin,2016,14.2
Heilongjiang,2024,26.9
Heilongjiang,2023,26
Heilongjiang,2022,24.4
Heilongjiang,2021,22.8
Heilongjiang,2020,NA
Heilongjiang,2019,18.1
Heilongjiang,2018,15.8
Heilongjiang,2017,15.6
Heilongjiang,2016,15.3
Shanghai,2024,28.8
Shanghai,2023,27.6
Shanghai,2022,26.1
Shanghai,2021,24
Shanghai,2020,NA
Shanghai,2019,22.1
Shanghai,2018,19.9
Shanghai,2017,18.8
Shanghai,2016,16.8
Jiangsu,2024,27.5
Jiangsu,2023,27.2
Jiangsu,2022,26.3
Jiangsu,2021,25
Jiangsu,2020,NA
Jiangsu,2019,21.2
Jiangsu,2018,19.9
Jiangsu,2017,19.2
Jiangsu,2016,18.6
Zhejiang,2024,21.8
Zhejiang,2023,21.4
Zhejiang,2022,20.7
Zhejiang,2021,19.5
Zhejiang,2020,NA
Zhejiang,2019,19.3
Zhejiang,2018,17.7
Zhejiang,2017,16.6
Zhejiang,2016,15.4
Anhui,2024,23.2
Anhui,2023,23.8
Anhui,2022,23.9
Anhui,2021,23.4
Anhui,2020,NA
Anhui,2019,20.7
Anhui,2018,19.4
Anhui,2017,19.1
Anhui,2016,16.2
Fujian,2024,18.6
Fujian,2023,18.2
Fujian,2022,17.6
Fujian,2021,16.6
Fujian,2020,NA
Fujian,2019,13.7
Fujian,2018,12.9
Fujian,2017,13.2
Fujian,2016,13.9
Jiangxi,2024,20.4
Jiangxi,2023,19.9
Jiangxi,2022,19.4
Jiangxi,2021,18.6
Jiangxi,2020,NA
Jiangxi,2019,14.6
Jiangxi,2018,13.9
Jiangxi,2017,14.2
Jiangxi,2016,13.9
Shandong,2024,27.1
Shandong,2023,26.7
Shandong,2022,25.6
Shandong,2021,24.3
Shandong,2020,NA
Shandong,2019,23.8
Shandong,2018,22.7
Shandong,2017,18.6
Shandong,2016,16.3
Henan,2024,22.9
Henan,2023,23
Henan,2022,22.7
Henan,2021,21.9
Henan,2020,NA
Henan,2019,17.2
Henan,2018,16.3
Henan,2017,15.9
Henan,2016,14.6
Hubei,2024,25.3
Hubei,2023,24.9
Hubei,2022,23.9
Hubei,2021,22.5
Hubei,2020,NA
Hubei,2019,18.3
Hubei,2018,17.3
Hubei,2017,17
Hubei,2016,15.9
Hunan,2024,25
Hunan,2023,24.9
Hunan,2022,24.5
Hunan,2021,23.6
Hunan,2020,NA
Hunan,2019,19.7
Hunan,2018,18.4
Hunan,2017,17.5
Hunan,2016,17
Guangdong,2024,14.1
Guangdong,2023,13.8
Guangdong,2022,13.3
Guangdong,2021,12.6
Guangdong,2020,NA
Guangdong,2019,11.4
Guangdong,2018,11
Guangdong,2017,10.3
Guangdong,2016,10.2
Guangxi,2024,21.4
Guangxi,2023,21.3
Guangxi,2022,20.3
Guangxi,2021,19.5
Guangxi,2020,NA
Guangxi,2019,15
Guangxi,2018,14.7
Guangxi,2017,14.3
Guangxi,2016,14.1
Hainan,2024,16.9
Hainan,2023,16.7
Hainan,2022,16.2
Hainan,2021,15.5
Hainan,2020,NA
Hainan,2019,13.1
Hainan,2018,11.3
Hainan,2017,11.4
Hainan,2016,11.5
Chongqing,2024,27.9
Chongqing,2023,28.2
Chongqing,2022,27.3
Chongqing,2021,26.5
Chongqing,2020,NA
Chongqing,2019,22.6
Chongqing,2018,21.1
Chongqing,2017,20.6
Chongqing,2016,19.8
Sichuan,2024,27.3
Sichuan,2023,27.5
Sichuan,2022,27.1
Sichuan,2021,26.3
Sichuan,2020,NA
Sichuan,2019,23.2
Sichuan,2018,21.8
Sichuan,2017,19.8
Sichuan,2016,19.5
Guizhou,2024,19.8
Guizhou,2023,19.8
Guizhou,2022,18.7
Guizhou,2021,18.2
Guizhou,2020,NA
Guizhou,2019,17.5
Guizhou,2018,17.1
Guizhou,2017,14.5
Guizhou,2016,14.1
Yunnan,2024,17.2
Yunnan,2023,17.1
Yunnan,2022,16.8
Yunnan,2021,16.2
Yunnan,2020,NA
Yunnan,2019,13.7
Yunnan,2018,13.2
Yunnan,2017,11.6
Yunnan,2016,11.6
Tibet,2024,9
Tibet,2023,8.8
Tibet,2022,8.5
Tibet,2021,8.4
Tibet,2020,NA
Tibet,2019,8.9
Tibet,2018,8
Tibet,2017,8.2
Tibet,2016,7
Shaanxi,2024,23
Shaanxi,2023,22.3
Shaanxi,2022,21.4
Shaanxi,2021,20.3
Shaanxi,2020,NA
Shaanxi,2019,16.4
Shaanxi,2018,15
Shaanxi,2017,15.1
Shaanxi,2016,14.4
Gansu,2024,19.9
Gansu,2023,20.1
Gansu,2022,19.8
Gansu,2021,19.2
Gansu,2020,NA
Gansu,2019,16.1
Gansu,2018,15.9
Gansu,2017,14.3
Gansu,2016,13.6
Qinghai,2024,15.1
Qinghai,2023,15
Qinghai,2022,14.7
Qinghai,2021,14.2
Qinghai,2020,NA
Qinghai,2019,11.9
Qinghai,2018,10.4
Qinghai,2017,11
Qinghai,2016,9.9
Ningxia,2024,15.1
Ningxia,2023,14.9
Ningxia,2022,14.9
Ningxia,2021,14.4
Ningxia,2020,NA
Ningxia,2019,13.6
Ningxia,2018,12.7
Ningxia,2017,11.6
Ningxia,2016,10.7
Xinjiang,2024,12.3
Xinjiang,2023,12.2
Xinjiang,2022,11.9
Xinjiang,2021,11.5
Xinjiang,2020,NA
Xinjiang,2019,11.9
Xinjiang,2018,10.2
Xinjiang,2017,10.4
Xinjiang,2016,10.3
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2024,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2023,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2022,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2021,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2020,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2019,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2018,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2017,NA
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.,2016,NA
