province,year,population
Beijing,2024,2183
Beijing,2023,2186
Beijing,2022,2184
Beijing,2021,2189
Beijing,2020,2189
Beijing,2019,2190
Beijing,2018,2192
Beijing,2017,2194
Beijing,2016,2195
Tianjin,2024,1364
Tianjin,2023,1364
Tianjin,2022,1363
Tianjin,2021,1373
Tianjin,2020,1387
Tianjin,2019,1385
Tianjin,2018,1383
Tianjin,2017,1410
Tianjin,2016,1443
Hebei,2024,7378
Hebei,2023,7393
Hebei,2022,7420
Hebei,2021,7448
Hebei,2020,7464
Hebei,2019,7447
Hebei,2018,7426
Hebei,2017,7409
Hebei,2016,7375
Shanxi,2024,3446
Shanxi,2023,3466
Shanxi,2022,3481
Shanxi,2021,3480
Shanxi,2020,3490
Shanxi,2019,3497
Shanxi,2018,3502
Shanxi,2017,3510
Shanxi,2016,3514
Inner Mongolia,2024,2388
Inner Mongolia,2023,2396
Inner Mongolia,2022,2401
Inner Mongolia,2021,2400
Inner Mongolia,2020,2403
Inner Mongolia,2019,2415
Inner Mongolia,2018,2422
Inner Mongolia,2017,2433
Inner Mongolia,2016,2436
Liaoning,2024,4155
Liaoning,2023,4182
Liaoning,2022,4197
Liaoning,2021,4229
Liaoning,2020,4255
Liaoning,2019,4277
Liaoning,2018,4291
Liaoning,2017,4312
Liaoning,2016,4327
Jilin,2024,2317
Jilin,2023,2339
Jilin,2022,2348
Jilin,2021,2375
Jilin,2020,2399
Jilin,2019,2448
Jilin,2018,2484
Jilin,2017,2526
Jilin,2016,2567
Heilongjiang,2024,3029
Heilongjiang,2023,3062
Heilongjiang,2022,3099
Heilongjiang,2021,3125
Heilongjiang,2020,3171
Heilongjiang,2019,3255
Heilongjiang,2018,3327
Heilongjiang,2017,3399
Heilongjiang,2016,3463
Shanghai,2024,2480
Shanghai,2023,2487
Shanghai,2022,2475
Shanghai,2021,2489
Shanghai,2020,2488
Shanghai,2019,2481
Shanghai,2018,2475
Shanghai,2017,2466
Shanghai,2016,2467
Jiangsu,2024,8526
Jiangsu,2023,8526
Jiangsu,2022,8515
Jiangsu,2021,8505
Jiangsu,2020,8477
Jiangsu,2019,8469
Jiangsu,2018,8446
Jiangsu,2017,8423
Jiangsu,2016,8381
Zhejiang,2024,6670
Zhejiang,2023,6627
Zhejiang,2022,6577
Zhejiang,2021,6540
Zhejiang,2020,6468
Zhejiang,2019,6375
Zhejiang,2018,6273
Zhejiang,2017,6170
Zhejiang,2016,6072
Anhui,2024,6123
Anhui,2023,6121
Anhui,2022,6127
Anhui,2021,6113
Anhui,2020,6105
Anhui,2019,6092
Anhui,2018,6076
Anhui,2017,6057
Anhui,2016,6033
Fujian,2024,4193
Fujian,2023,4183
Fujian,2022,4188
Fujian,2021,4187
Fujian,2020,4161
Fujian,2019,4137
Fujian,2018,4104
Fujian,2017,4065
Fujian,2016,4016
Jiangxi,2024,4502
Jiangxi,2023,4515
Jiangxi,2022,4528
Jiangxi,2021,4517
Jiangxi,2020,4519
Jiangxi,2019,4516
Jiangxi,2018,4513
Jiangxi,2017,4511
Jiangxi,2016,4496
Shandong,2024,10080
Shandong,2023,10123
Shandong,2022,10163
Shandong,2021,10170
Shandong,2020,10165
Shandong,2019,10106
Shandong,2018,10077
Shandong,2017,10033
Shandong,2016,9973
Henan,2024,9785
Henan,2023,9815
Henan,2022,9872
Henan,2021,9883
Henan,2020,9941
Henan,2019,9901
Henan,2018,9864
Henan,2017,9829
Henan,2016,9778
Hubei,2024,5834
Hubei,2023,5838
Hubei,2022,5844
Hubei,2021,5830
Hubei,2020,5745
Hubei,2019,5927
Hubei,2018,5917
Hubei,2017,5904
Hubei,2016,5885
Hunan,2024,6539
Hunan,2023,6568
Hunan,2022,6604
Hunan,2021,6622
Hunan,2020,6645
Hunan,2019,6640
Hunan,2018,6635
Hunan,2017,6633
Hunan,2016,6625
Guangdong,2024,12780
Guangdong,2023,12706
Guangdong,2022,12657
Guangdong,2021,12684
Guangdong,2020,12624
Guangdong,2019,12489
Guangdong,2018,12348
Guangdong,2017,12141
Guangdong,2016,11908
Guangxi,2024,5013
Guangxi,2023,5027
Guangxi,2022,5047
Guangxi,2021,5037
Guangxi,2020,5019
Guangxi,2019,4982
Guangxi,2018,4947
Guangxi,2017,4907
Guangxi,2016,4857
Hainan,2024,1048
Hainan,2023,1043
Hainan,2022,1027
Hainan,2021,1020
Hainan,2020,1012
Hainan,2019,995
Hainan,2018,982
Hainan,2017,972
Hainan,2016,957
Chongqing,2024,3190
Chongqing,2023,3191
Chongqing,2022,3213
Chongqing,2021,3212
Chongqing,2020,3209
Chongqing,2019,3188
Chongqing,2018,3163
Chongqing,2017,3144
Chongqing,2016,3110
Sichuan,2024,8364
Sichuan,2023,8368
Sichuan,2022,8374
Sichuan,2021,8372
Sichuan,2020,8371
Sichuan,2019,8351
Sichuan,2018,8321
Sichuan,2017,8289
Sichuan,2016,8251
Guizhou,2024,3860
Guizhou,2023,3865
Guizhou,2022,3856
Guizhou,2021,3852
Guizhou,2020,3858
Guizhou,2019,3848
Guizhou,2018,3822
Guizhou,2017,3803
Guizhou,2016,3758
Yunnan,2024,4655
