province,year,student_teacher_jun_ratio
Beijing,2024,10.08
Beijing,2023,9.19
Beijing,2022,8.88
Beijing,2021,8.87
Beijing,2020,8.68
Beijing,2019,8.33
Beijing,2018,7.83
Beijing,2017,7.73
Beijing,2016,8.02
Tianjin,2024,12.62
Tianjin,2023,12.02
Tianjin,2022,11.78
Tianjin,2021,11.21
Tianjin,2020,11.02
Tianjin,2019,10.71
Tianjin,2018,10.2
Tianjin,2017,9.76
Tianjin,2016,9.63
Hebei,2024,13.76
Hebei,2023,13.62
Hebei,2022,13.57
Hebei,2021,13.39
Hebei,2020,13.72
Hebei,2019,14.11
Hebei,2018,14.17
Hebei,2017,13.87
Hebei,2016,13.59
Shanxi,2024,11.06
Shanxi,2023,10.83
Shanxi,2022,10.56
Shanxi,2021,10.28
Shanxi,2020,10.27
Shanxi,2019,10.45
Shanxi,2018,10.5
Shanxi,2017,10
Shanxi,2016,9.92
Inner Mongolia,2024,10.3
Inner Mongolia,2023,10.2
Inner Mongolia,2022,10.44
Inner Mongolia,2021,10.57
Inner Mongolia,2020,10.87
Inner Mongolia,2019,11.14
Inner Mongolia,2018,10.93
Inner Mongolia,2017,10.74
Inner Mongolia,2016,10.73
Liaoning,2024,9.8
Liaoning,2023,9.47
Liaoning,2022,9.66
Liaoning,2021,9.94
Liaoning,2020,10.14
Liaoning,2019,10.18
Liaoning,2018,9.96
Liaoning,2017,9.68
Liaoning,2016,9.89
Jilin,2024,9.11
Jilin,2023,9.06
Jilin,2022,8.99
Jilin,2021,8.99
Jilin,2020,9.27
Jilin,2019,9.88
Jilin,2018,10.04
Jilin,2017,9.57
Jilin,2016,9.34
Heilongjiang,2024,9.53
Heilongjiang,2023,9.58
Heilongjiang,2022,9.46
Heilongjiang,2021,9.77
Heilongjiang,2020,9.96
Heilongjiang,2019,10.38
Heilongjiang,2018,10.48
Heilongjiang,2017,10.08
Heilongjiang,2016,9.99
Shanghai,2024,12.2
Shanghai,2023,11.66
Shanghai,2022,11.09
Shanghai,2021,10.8
Shanghai,2020,10.47
Shanghai,2019,10.47
Shanghai,2018,10.55
Shanghai,2017,10.48
Shanghai,2016,10.85
Jiangsu,2024,12.16
Jiangsu,2023,11.93
Jiangsu,2022,11.83
Jiangsu,2021,11.85
Jiangsu,2020,11.96
Jiangsu,2019,12.06
Jiangsu,2018,11.83
Jiangsu,2017,11.48
Jiangsu,2016,11.04
Zhejiang,2024,12.81
Zhejiang,2023,12.56
Zhejiang,2022,12.38
Zhejiang,2021,12.24
Zhejiang,2020,12.29
Zhejiang,2019,12.54
Zhejiang,2018,12.66
Zhejiang,2017,12.5
Zhejiang,2016,12.34
Anhui,2024,13.76
Anhui,2023,13.63
Anhui,2022,13.37
Anhui,2021,13.5
