province,year,student_teacher_pri_ratio
Beijing,2024,14.53
Beijing,2023,14.73
Beijing,2022,14.13
Beijing,2021,13.92
Beijing,2020,14.01
Beijing,2019,13.58
Beijing,2018,13.65
Beijing,2017,13.58
Beijing,2016,14.05
Tianjin,2024,15.91
Tianjin,2023,15.9
Tianjin,2022,15.59
Tianjin,2021,15.26
Tianjin,2020,15.38
Tianjin,2019,15.1
Tianjin,2018,15.03
Tianjin,2017,15.06
Tianjin,2016,15.19
Hebei,2024,15.6
Hebei,2023,16.1
Hebei,2022,16.25
Hebei,2021,16.59
Hebei,2020,17.07
Hebei,2019,17.18
Hebei,2018,17.32
Hebei,2017,17.42
Hebei,2016,17.66
Shanxi,2024,13.72
Shanxi,2023,13.96
Shanxi,2022,13.7
Shanxi,2021,13.56
Shanxi,2020,13.98
Shanxi,2019,13.67
Shanxi,2018,13.6
Shanxi,2017,13.49
Shanxi,2016,13.24
Inner Mongolia,2024,12.23
Inner Mongolia,2023,12.57
Inner Mongolia,2022,12.59
Inner Mongolia,2021,13.09
Inner Mongolia,2020,13.13
Inner Mongolia,2019,13.25
Inner Mongolia,2018,13.33
Inner Mongolia,2017,13.3
Inner Mongolia,2016,13.47
Liaoning,2024,14.16
Liaoning,2023,14.29
Liaoning,2022,14
Liaoning,2021,14.03
Liaoning,2020,14.28
Liaoning,2019,14.2
Liaoning,2018,14.27
Liaoning,2017,13.88
Liaoning,2016,14.16
Jilin,2024,10.8
Jilin,2023,11.15
Jilin,2022,10.95
Jilin,2021,11.03
Jilin,2020,11.28
Jilin,2019,11.29
Jilin,2018,11.27
Jilin,2017,11.33
Jilin,2016,11.53
Heilongjiang,2024,10.92
Heilongjiang,2023,11.16
Heilongjiang,2022,11.1
Heilongjiang,2021,11.6
Heilongjiang,2020,12
Heilongjiang,2019,11.94
Heilongjiang,2018,11.93
Heilongjiang,2017,12.02
Heilongjiang,2016,12.05
Shanghai,2024,13.67
Shanghai,2023,13.99
Shanghai,2022,14.02
Shanghai,2021,14.1
Shanghai,2020,14.01
Shanghai,2019,13.9
Shanghai,2018,14.09
Shanghai,2017,14.35
Shanghai,2016,14.79
Jiangsu,2024,15.81
Jiangsu,2023,16.16
Jiangsu,2022,16.16
Jiangsu,2021,16.31
Jiangsu,2020,16.79
Jiangsu,2019,17.25
Jiangsu,2018,17.73
Jiangsu,2017,17.99
Jiangsu,2016,18.06
Zhejiang,2024,17.33
Zhejiang,2023,17.25
Zhejiang,2022,16.93
Zhejiang,2021,16.8
Zhejiang,2020,16.79
Zhejiang,2019,16.99
Zhejiang,2018,17.14
Zhejiang,2017,17.26
Zhejiang,2016,17.75
Anhui,2024,17.27
Anhui,2023,17.6
Anhui,2022,17.44
Anhui,2021,17.42
Anhui,2020,17.98
Anhui,2019,18.09
Anhui,2018,18.32
Anhui,2017,17.98
Anhui,2016,17.9
Fujian,2024,17.4
Fujian,2023,17.69
Fujian,2022,17.58
Fujian,2021,17.79
Fujian,2020,18.82
Fujian,2019,18.79
Fujian,2018,18.68
Fujian,2017,18.19
Fujian,2016,18
Jiangxi,2024,15.36
Jiangxi,2023,15.7
Jiangxi,2022,15.83
Jiangxi,2021,16.14
Jiangxi,2020,16.77
Jiangxi,2019,17.25
Jiangxi,2018,17.95
Jiangxi,2017,18.63
Jiangxi,2016,19.29
Shandong,2024,17.15
Shandong,2023,17.01
Shandong,2022,16.27
Shandong,2021,16.14
Shandong,2020,16.36
Shandong,2019,16.68
Shandong,2018,16.86
Shandong,2017,16.79
Shandong,2016,16.91
Henan,2024,15.73
Henan,2023,16.02
Henan,2022,16.26
Henan,2021,16.7
Henan,2020,17.42
Henan,2019,17.91
Henan,2018,18.18
Henan,2017,18.63
Henan,2016,19.08
Hubei,2024,16.95
Hubei,2023,17.36
Hubei,2022,17.32
Hubei,2021,17.47
Hubei,2020,18.15
Hubei,2019,18.07
Hubei,2018,18.01
Hubei,2017,17.44
Hubei,2016,17.13
Hunan,2024,16.32
Hunan,2023,16.71
Hunan,2022,16.7
Hunan,2021,17.04
Hunan,2020,17.81
Hunan,2019,18.42
Hunan,2018,19.01
Hunan,2017,19.24
Hunan,2016,19.78
Guangdong,2024,17.96
Guangdong,2023,18.1
Guangdong,2022,18.01
Guangdong,2021,18.22
Guangdong,2020,18.43
Guangdong,2019,18.68
Guangdong,2018,18.64
Guangdong,2017,18.55
Guangdong,2016,18.6
Guangxi,2024,16.8
Guangxi,2023,17.13
Guangxi,2022,17.32
Guangxi,2021,17.6
Guangxi,2020,18
Guangxi,2019,18.53
Guangxi,2018,18.5
Guangxi,2017,18.77
Guangxi,2016,19.41
Hainan,2024,14.95
Hainan,2023,14.97
Hainan,2022,15.07
Hainan,2021,15.35
Hainan,2020,15.87
Hainan,2019,16.26
Hainan,2018,16.4
Hainan,2017,16.26
Hainan,2016,16.18
Chongqing,2024,15.28
Chongqing,2023,15.31
Chongqing,2022,15.16
Chongqing,2021,15.24
Chongqing,2020,15.5
Chongqing,2019,16.02
Chongqing,2018,16.56
Chongqing,2017,16.76
Chongqing,2016,17.05
Sichuan,2024,15.45
Sichuan,2023,15.6
Sichuan,2022,15.59
Sichuan,2021,15.71
Sichuan,2020,16.03
Sichuan,2019,16.45
Sichuan,2018,16.84
Sichuan,2017,16.98
Sichuan,2016,17.48
Guizhou,2024,17.83
Guizhou,2023,18.13
Guizhou,2022,18.19
Guizhou,2021,18.63
Guizhou,2020,18.48
Guizhou,2019,18.27
Guizhou,2018,17.89
Guizhou,2017,17.92
Guizhou,2016,17.93
Yunnan,2024,16.7
Yunnan,2023,16.65
Yunnan,2022,16.33
Yunnan,2021,16.3
Yunnan,2020,16.4
Yunnan,2019,16.69
Yunnan,2018,16.62
Yunnan,2017,16.51
Yunnan,2016,16.59
Tibet,2024,14.28
Tibet,2023,14.4
Tibet,2022,14.78
Tibet,2021,14.4
Tibet,2020,14.41
Tibet,2019,14.72
Tibet,2018,14.54
Tibet,2017,15.43
Tibet,2016,14.37
Shaanxi,2024,15.54
Shaanxi,2023,15.9
Shaanxi,2022,15.9
Shaanxi,2021,16.02
Shaanxi,2020,16.33
Shaanxi,2019,16.26
Shaanxi,2018,16.18
Shaanxi,2017,15.86
Shaanxi,2016,15.48
Gansu,2024,13.26
Gansu,2023,13.41
Gansu,2022,13.3
Gansu,2021,13.31
Gansu,2020,13.32
Gansu,2019,13.08
Gansu,2018,13.24
Gansu,2017,13.07
Gansu,2016,12.91
Qinghai,2024,17.24
